Nino Farina,1,Ret,,1,4,7,1
Juan Manuel Fangio,Ret,1,,Ret,1,1,Ret
Luigi Fagioli,2,Ret,,2,2,2,3
Louis Rosier,5,Ret,,3,3,6,4
Alberto Ascari,,2,,Ret,5,DNQ,2
Johnnie Parsons,,,1.0,,,,
Bill Holland,,,2.0,,,,
Prince Bira,Ret,5,,4,,,Ret
Peter Whitehead,,DNS,,,,3,7
Louis Chiron,Ret,3,,9,,Ret,Ret
Reg Parnell,3,,,,,Ret,
Mauri Rose,,,3.0,,,,
Dorino Serafini,,,,,,,2
Yves Giraud Cabantous,4,,,Ret,Ret,8,
Raymond Sommer,,4,,Ret,Ret,Ret,Ret
Robert Manzon,,Ret,,,,4,Ret
Cecil Green,,,4.0,,,,
Philippe Étancelin,8,Ret,,Ret,Ret,5,5
Felice Bonetto,,,,5,,Ret,DNS
Eugène Chaboud,,,,,Ret,5,
Tony Bettenhausen,,,5.0,,,,
Joie Chitwood,,,5.0,,,,
Toulo de Graffenried,Ret,Ret,,6,,,6
Bob Gerard,6,6,,,,,
Luigi Villoresi,,Ret,,Ret,6,DNQ,
Lee Wallard,,,6.0,,,,
Charles Pozzi,,,,,,6,
Johnny Claes,11,7,,10,8,Ret,Ret
Pierre Levegh,,,,,7,Ret,Ret
Cuth Harrison,7,Ret,,,,,Ret
Walt Faulkner,,,7.0,,,,
Nello Pagani,,,,7,,,
Harry Schell,,Ret,,8,,,
George Connor,,,8.0,,,,
Geoff Crossley,Ret,,,,9,,
David Hampshire,9,,,,,Ret,
Paul Russo,,,9.0,,,,
Toni Branca,,,,11,10,,
Joe Fry,10,,,,,,
Brian Shawe Taylor,10,,,,,,
Pat Flaherty,,,10.0,,,,
Myron Fohr,,,11.0,,,,
Duane Carter,,,12.0,,,,
Mack Hellings,,,13.0,,,,
Jack McGrath,,,14.0,,,,
Troy Ruttman,,,15.0,,,,
Gene Hartley,,,16.0,,,,
Jimmy Davies,,,17.0,,,,
Johnny McDowell,,,18.0,,,,
Walt Brown,,,19.0,,,,
Spider Webb,,,20.0,,,,
Jerry Hoyt,,,21.0,,,,
Walt Ader,,,22.0,,,,
Jackie Holmes,,,23.0,,,,
Jim Rathmann,,,24.0,,,,
Henry Banks,,,25.0,,,,
Bill Schindler,,,26.0,,,,
Bill Cantrell,,,27.0,,,,
Bayliss Levrett,,,27.0,,,,
Fred Agabashian,,,28.0,,,,
Jimmy Jackson,,,29.0,,,,
Sam Hanks,,,30.0,,,,
Dick Rathmann,,,32.0,,,,
Duke Dinsmore,,,33.0,,,,
David Murray,Ret,,,,,,Ret
José Froilán González,,Ret,,,,Ret,
Guy Mairesse,,,,,,,Ret
Franco Rol,,Ret,,,,Ret,Ret
Joe Kelly,NC,,,,,,
Piero Taruffi,,,,,,,Ret
Eugène Martin,Ret,,,Ret,,,
Maurice Trintignant,,Ret,,,,,Ret
Clemente Biondetti,,,,,,,Ret
Henri Louveau,,,,,,,Ret
Franco Comotti,,,,,,DNP,Ret
Tony Rolt,Ret,,,,,,
Peter Walker,Ret,,,,,,
Leslie Johnson,Ret,,,,,,
Alfredo Piàn,,DNS,,,,,
Consalvo Sanesi,,,,,,,Ret
Paul Pietsch,,,,,,,Ret
