Juan Manuel Fangio,1,,9,1,2,2,Ret,1
Alberto Ascari,6,,2,2,Ret,1,1,4
José Froilán González,Ret,,,2,1,3,2,2
Nino Farina,3,,1,5,Ret,Ret,3,3
Luigi Villoresi,Ret,,3,3,3,4,4,Ret
Piero Taruffi,2,,Ret,,,5,5,Ret
Lee Wallard,,1.0,,,,,,
Felice Bonetto,,,,,4,Ret,3,5
Mike Nazaruk,,2.0,,,,,,
Reg Parnell,,,,4,5,,DNS,
Luigi Fagioli,,,,1,,,,
Consalvo Sanesi,4,,Ret,10,6,,,
Louis Rosier,9,,4,Ret,10,8,7,7
Andy Linden,,4.0,,,,,,
Jack McGrath,,3.0,,,,,,
Manny Ayulo,,3.0,,,,,,
Toulo de Graffenried,5,,,Ret,,Ret,Ret,6
Yves Giraud Cabantous,Ret,,5,7,,Ret,8,Ret
Bobby Ball,,5.0,,,,,,
Louis Chiron,7,,Ret,6,Ret,Ret,Ret,Ret
Rudi Fischer,11,,,,,6,,
André Simon,,,,Ret,,Ret,6,Ret
Henry Banks,,6.0,,,,,,
André Pilette,,,6,,,,,
Robert Manzon,,,,Ret,,7,Ret,9
Johnny Claes,13,,7,Ret,13,11,Ret,Ret
Carl Forberg,,7.0,,,,,,
Peter Walker,,,,,7,,,
Pierre Levegh,,,8,,,9,Ret,
Philippe Étancelin,10,,Ret,Ret,,Ret,,8
Stirling Moss,8,,,,,,,
Duane Carter,,8.0,,,,,,
Eugène Chaboud,,,,8,,,,
Brian Shawe Taylor,,,,,8,,,
Guy Mairesse,14,,,9,,,,
Peter Whitehead,Ret,,,Ret,9,,Ret,
Tony Bettenhausen,,9.0,,,,,,
Franco Rol,,,,,,,9,
Jacques Swaters,,,,,,10,Ret,
Duke Nalon,,10.0,,,,,,
Paco Godia,,,,,,,,10
Gene Force,,11.0,,,,,,
Bob Gerard,,,,,11,,,
Duncan Hamilton,,,,,12,Ret,,
Harry Schell,12,,,Ret,,,,
Sam Hanks,,12.0,,,,,,
Bill Schindler,,13.0,,,,,,
Mauri Rose,,14.0,,,,,,
Walt Faulkner,,15.0,,,,,,
Jimmy Davies,,16.0,,,,,,
Fred Agabashian,,17.0,,,,,,
Carl Scarborough,,18.0,,,,,,
Bill Mackey,,19.0,,,,,,
Chuck Stevenson,,20.0,,,,,,
Johnnie Parsons,,21.0,,,,,,
Cecil Green,,22.0,,,,,,
Troy Ruttman,,23.0,,,,,,
Duke Dinsmore,,24.0,,,,,,
Chet Miller,,25.0,,,,,,
Walt Brown,,26.0,,,,,,
Rodger Ward,,27.0,,,,,,
Cliff Griffith,,28.0,,,,,,
Bill Vukovich,,29.0,,,,,,
George Connor,,30.0,,,,,,
Mack Hellings,,31.0,,,,,,
Johnny McDowell,,32.0,,,,,,
Joe James,,33.0,,,,,,
Maurice Trintignant,,,,Ret,,Ret,Ret,Ret
Aldo Gordini,,,,Ret,,,,
Joe Kelly,,,,,Ret,,,
Henri Louveau,Ret,,,,,,,
Paul Pietsch,,,,,,Ret,,
Georges Grignard,,,,,,,,Ret
George Abecassis,Ret,,,,,,,
Philip Fotheringham-Parker,,,,,Ret,,,
David Murray,,,,,Ret,,,
Prince Bira,,,,,,,,Ret
John James,,,,,Ret,,,
Chico Landi,,,,,,,Ret,
Juan Jover,,,,,,,,Ret
Peter Hirt,Ret,,,,,,,
Onofre Marimón,,,,Ret,,,,
Toni Branca,,,,,,Ret,,
Ken Richardson,,,,,,,DNS,
