Alberto Ascari,,31.0,1,1,1,1,1,1
Nino Farina,Ret,,2,2,6,2,2,4
Piero Taruffi,1,,Ret,3,2,4,,7
Rudi Fischer,2,,,11,13,3,,Ret
Mike Hawthorn,,,4,Ret,3,,4,Ret
Robert Manzon,Ret,,3,4,Ret,Ret,5,14
Troy Ruttman,,1.0,,,,,,
Luigi Villoresi,,,,,,,3,3
José Froilán González,,,,,,,,2
Jim Rathmann,,2.0,,,,,,
Jean Behra,3,,Ret,7,,5,Ret,Ret
Sam Hanks,,3.0,,,,,,
Ken Wharton,4,,Ret,,,,Ret,9
Dennis Poore,,,,,4,,,12
Duane Carter,,4.0,,,,,,
Alan Brown,5,,6,,22,,,15
Maurice Trintignant,,,,5,Ret,Ret,6,Ret
Paul Frère,,,5,,,Ret,Ret,
Felice Bonetto,,,,,,Ret,,5
Art Cross,,5.0,,,,,,
Eric Thompson,,,,,5,,,
Bill Vukovich,,17.0,,,,,,
Roger Laurent,,,12,,,6,,
Toulo de Graffenried,6,,,Ret,19,,,DNQ
André Simon,Ret,,,,,,,6
Peter Collins,Ret,,Ret,6,Ret,,,DNQ
Jimmy Bryan,,6.0,,,,,,
Peter Hirt,7,,,11,Ret,,,
Charles de Tornaco,,,7,,,,Ret,DNQ
Duncan Hamilton,,,,,Ret,,7,
Jimmy Reece,,7.0,,,,,,
Reg Parnell,,,,,7,,,
Fritz Riess,,,,,,7,,
Lance Macklin,WD,,11,9,15,,8,DNQ
Eric Brandon,8,,9,,20,,,13
Chico Landi,,,,,,,9,8
Johnny Claes,,,8,Ret,14,10,,DNQ
Toni Ulmen,Ret,,,,,8,,
George Connor,,8.0,,,,,,
Philippe Étancelin,,,,8,,,,
Roy Salvadori,,,,,8,,,
Ken Downing,,,,,9,,Ret,
Cliff Griffith,,9.0,,,,,,
Helmut Niedermayr,,,,,,9,,
Jan Flinterman,,,,,,,9,
Prince Bira,Ret,,10,Ret,11,,,
Peter Whitehead,,,,Ret,10,,,DNQ
Louis Rosier,Ret,,Ret,Ret,,,,10
Johnnie Parsons,,10.0,,,,,,
Yves Giraud Cabantous,,,,10,,,,
Eitel Cantoni,,,,,Ret,Ret,,11
Jack McGrath,,11.0,,,,,,
Hans Klenk,,,,,,11,,
Jim Rigsby,,12.0,,,,,,
Franco Comotti,,,,12,,,,
Graham Whitehead,,,,,12,,,
Ernst Klodwig,,,,,,12,,
Joe James,,13.0,,,,,,
Arthur Legat,,,13,,,,,
Bill Schindler,,14.0,,,,,,
Robert O'Brien,,,14,,,,,
Tony Gaze,,,15,,Ret,Ret,,DNQ
George Fonder,,15.0,,,,,,
Kenneth McAlpine,,,,,16,,,Ret
Eddie Johnson,,16.0,,,,,,
Harry Schell,Ret,,,Ret,17,,,
Gino Bianco,,,,,18,Ret,Ret,Ret
Chuck Stevenson,,18.0,,,,,,
Henry Banks,,19.0,,,,,,
Manny Ayulo,,20.0,,,,,,
Johnny McDowell,,21.0,,,,,,
Tony Crook,,,,,21,,,
Spider Webb,,22.0,,,,,,
Rodger Ward,,23.0,,,,,,
Tony Bettenhausen,,24.0,,,,,,
Duke Nalon,,25.0,,,,,,
Bob Sweikert,,26.0,,,,,,
Fred Agabashian,,27.0,,,,,,
Gene Hartley,,28.0,,,,,,
Bob Scott,,29.0,,,,,,
Chet Miller,,30.0,,,,,,
Bobby Ball,,32.0,,,,,,
Andy Linden,,33.0,,,,,,
Stirling Moss,WD,,Ret,,Ret,,Ret,Ret
Dries van der Lof,,,,,,,Ret,
Willi Heeks,,,,,,Ret,,
Robin Montgomerie-Charrington,,,Ret,,,,,
Adolf Brudes,,,,,,Ret,,
George Abecassis,Ret,,,,,,,
Marcel Balsa,,,,,,Ret,,
Hans Von Stuck,Ret,,,,,,,DNQ
Günther Bechem,,,,,,Ret,,
Piero Carini,,,,Ret,,Ret,,
Rudolf Krause,,,,,,Ret,,
Franco Rol,,,,,,,,Ret
Max de Terra,Ret,,,,,,,
Rudolf Schoeller,,,,,,Ret,,
Bill Aston,,,,,DNS,Ret,,DNQ
Paul Pietsch,,,,,,Ret,,
Élie Bayol,,,,,,,,Ret
Alberto Crespo,,,,,,,,DNQ
Theo Helfrich,,,,,,Ret,,
David Murray,,,,,Ret,,,
Josef Peters,,,,,,Ret,,
Piero Dusio,,,,,,,,DNQ
