Alberto Ascari,1,,1,1,4,1,8,1,Ret
Juan Manuel Fangio,Ret,,Ret,Ret,2,2,2,4,1
Nino Farina,Ret,,2,Ret,5,3,1,2,2
Mike Hawthorn,4,,4,6,1,5,3,3,4
Luigi Villoresi,2,,Ret,2,6,Ret,8,6,3
José Froilán González,3,,3,Ret,3,4,,,
Bill Vukovich,,1.0,,,,,,,
Toulo de Graffenried,,,5,4,7,Ret,5,Ret,Ret
Felice Bonetto,Ret,,3,,Ret,6,4,4,Ret
Art Cross,,2.0,,,,,,,
Onofre Marimón,,,,3,9,Ret,Ret,Ret,Ret
Maurice Trintignant,7,,6,5,Ret,Ret,Ret,Ret,5
Duane Carter,,3.0,,,,,,,
Sam Hanks,,3.0,,,,,,,
Óscar Alfredo Gálvez,5,,,,,,,,
Jack McGrath,,5.0,,,,,,,
Hermann Lang,,,,,,,,5,
Fred Agabashian,,4.0,,,,,,,
Paul Russo,,4.0,,,,,,,
Stirling Moss,,,9,,Ret,,6,,13
Jean Behra,6,,,Ret,10,Ret,Ret,Ret,
Roberto Mieres,,,Ret,,Ret,,,,6
Jimmy Daywalt,,6.0,,,,,,,
Harry Schell,7,,Ret,7,Ret,Ret,Ret,,9
Louis Rosier,,,7,8,8,10,10,Ret,16
Ken Wharton,,,Ret,,Ret,8,,7,NC
Prince Bira,,,,,Ret,7,Ret,,11
Jacques Swaters,,,,,,,7,Ret,
Eddie Johnson,,7.0,,,,,,,
Jim Rathmann,,7.0,,,,,,,
Sergio Mantovani,,,,,,,,,7
Luigi Musso,,,,,,,,,7
Peter Collins,,,8,Ret,13,Ret,,,
John Barber,8,,,,,,,,
Ernie McCoy,,8.0,,,,,,,
Max de Terra,,,,,,,,8,
Umberto Maglioli,,,,,,,,,8
Alan Brown,9,,,,,Ret,Ret,,12
Chuck Stevenson,,9.0,,,,,,,
Tony Bettenhausen,,9.0,,,,,,,
Gene Hartley,,9.0,,,,,,,
Fred Wacker,,,,9,,,,,
Peter Whitehead,,,,,,9,,,
Hans Herrmann,,,,,,,9,,
Albert Scherrer,,,,,,,,9,
Louis Chiron,,,,,15,,,,10
Paul Frère,,,,10,,,,Ret,
Jimmy Davies,,10.0,,,,,,,
Duke Nalon,,11.0,,,,,,,
André Pilette,,,,11,,,,,
Bob Gerard,,,,,11,,,,
Rodney Nuckey,,,,,,,11,,
Johnny Claes,,,NC,Ret,12,,Ret,,Ret
Bob Scott,,12.0,,,,,,,
Carl Scarborough,,12.0,,,,,,,
Theo Helfrich,,,,,,,12,,
Kenneth McAlpine,,,Ret,,,Ret,13,,NC
Manny Ayulo,,13.0,,,,,,,
Yves Giraud Cabantous,,,,,14,,,,15
Hans Von Stuck,,,,,,,Ret,,14
Jimmy Bryan,,14.0,,,,,,,
Rudolf Krause,,,,,,,14,,
Bill Holland,,15.0,,,,,,,
Ernst Klodwig,,,,,,,15,,
Duke Dinsmore,,16.0,,,,,,,
Rodger Ward,,16.0,,,,,,,
Andy Linden,,16.0,,,,,,,
Wolfgang Seidel,,,,,,,16,,
Walt Faulkner,,17.0,,,,,,,
Johnny Mantz,,17.0,,,,,,,
Marshall Teague,,18.0,,,,,,,
Jackie Holmes,,19.0,,,,,,,
Spider Webb,,19.0,,,,,,,
Johnny Thomson,,19.0,,,,,,,
Bob Sweikert,,20.0,,,,,,,
Mike Nazaruk,,21.0,,,,,,,
Pat Flaherty,,22.0,,,,,,,
Jerry Hoyt,,23.0,,,,,,,
Johnnie Parsons,,26.0,,,,,,,
Don Freeland,,27.0,,,,,,,
Cal Niday,,30.0,,,,,,,
Chico Landi,,,,,,,,Ret,Ret
Robert Manzon,Ret,,,,,,,,
Jimmy Stewart,,,,,,Ret,,,
Tony Rolt,,,,,,Ret,,,
Lance Macklin,,,Ret,Ret,Ret,Ret,,Ret,Ret
Carlos Menditeguy,Ret,,,,,,,,
Pablo Birger,Ret,,,,,,,,
Adolfo Schewelm Cruz,Ret,,,,,,,,
Jack Fairman,,,,,,Ret,,,NC
Peter Hirt,,,,,,,,Ret,
Roy Salvadori,,,Ret,,Ret,Ret,Ret,,Ret
Élie Bayol,,,,,Ret,,,,Ret
Georges Berger,,,,Ret,,,,,
Arthur Legat,,,,Ret,,,,,
Edgar Barth,,,,,,,Ret,,
Ian Stewart,,,,,,Ret,,,
Oswald Karch,,,,,,,Ret,,
Willi Heeks,,,,,,,Ret,,
Duncan Hamilton,,,,,,Ret,,,
Piero Carini,,,,,,,,,Ret
Tony Crook,,,,,,Ret,,,
Theo Fitzau,,,,,,,Ret,,
Kurt Adolff,,,,,,,Ret,,
John Fitch,,,,,,,,,Ret
Günther Bechem,,,,,,,Ret,,
Erwin Bauer,,,,,,,Ret,,
Ernst Loof,,,,,,,Ret,,
