Juan Manuel Fangio,1,,1,1,4,1,1,1,3
José Froilán González,3,,4,Ret,1,2,2,3,
Mike Hawthorn,DSQ,,4,Ret,2,2,Ret,2,1
Maurice Trintignant,4,,2,Ret,5,3,Ret,5,Ret
Karl Kling,,,,2,7,4,Ret,Ret,5
Bill Vukovich,,1.0,,,,,,,
Hans Herrmann,,,,Ret,,Ret,3,4,Ret
Nino Farina,2,,Ret,,,,,,
Luigi Musso,DNS,,,,,,,Ret,2
Jimmy Bryan,,2.0,,,,,,,
Roberto Mieres,Ret,,Ret,Ret,6,Ret,4,Ret,4
Jack McGrath,,3.0,,,,,,,
Stirling Moss,,,3,,Ret,Ret,Ret,10,Ret
Onofre Marimón,Ret,,Ret,Ret,3,DNS,,,
Robert Manzon,,,,3,Ret,9,DNS,Ret,Ret
Sergio Mantovani,,,7,DNS,,5,5,9,Ret
Prince Bira,7,,6,4,Ret,Ret,,,9
Umberto Maglioli,9,,,,,,7,3,
André Pilette,,,5,,9,Ret,,,
Luigi Villoresi,,,,5,Ret,DNS,,Ret,Ret
Élie Bayol,5,,,,,,,,
Mike Nazaruk,,5.0,,,,,,,
Troy Ruttman,,4.0,,,,,,,
Duane Carter,,4.0,,,,,,,
Alberto Ascari,,,,Ret,Ret,,,Ret,Ret
Jean Behra,DSQ,,Ret,6,Ret,10,Ret,Ret,Ret
Harry Schell,6,,,Ret,12,7,Ret,,Ret
Ken Wharton,,,,Ret,8,DNS,6,,8
Fred Wacker,,,,,,,Ret,6,
Fred Agabashian,,6.0,,,,,,,
Piero Taruffi,,,,,,6,,,
Paco Godia,,,,,,,,,6
Louis Rosier,Ret,,,Ret,Ret,8,,8,7
Peter Collins,,,,,Ret,,,7,DNS
Don Freeland,,7.0,,,,,,,
Toulo de Graffenried,8,,,,,,,,Ret
Jacques Swaters,,,Ret,,,,8,,Ret
Paul Russo,,8.0,,,,,,,
Jerry Hoyt,,8.0,,,,,,,
Larry Crockett,,9.0,,,,,,,
Cal Niday,,10.0,,,,,,,
Bob Gerard,,,,,10,,,,
Jorge Daponte,Ret,,,,,,,11,
Jimmy Davies,,11.0,,,,,,,
Johnnie Parsons,,11.0,,,,,,,
Andy Linden,,11.0,,,,,,,
Art Cross,,11.0,,,,,,,
Sam Hanks,,11.0,,,,,,,
Don Beauman,,,,,11,,,,
Walt Faulkner,,12.0,,,,,,,
Chuck Stevenson,,12.0,,,,,,,
Manny Ayulo,,13.0,,,,,,,
Leslie Marr,,,,,13,,,,
Bob Sweikert,,14.0,,,,,,,
Leslie Thorne,,,,,14,,,,
Marshall Teague,,15.0,,,,,,,
Jimmy Jackson,,15.0,,,,,,,
Tony Bettenhausen,,15.0,,,,,,,
Horace Gould,,,,,15,,,,
Ernie McCoy,,16.0,,,,,,,
Jimmy Reece,,17.0,,,,,,,
Bob Scott,,18.0,,,,,,,
Ed Elisian,,18.0,,,,,,,
George Fonder,,19.0,,,,,,,
Frank Armi,,19.0,,,,,,,
Jim Rathmann,,20.0,,,,,,,
Pat O'Connor,,21.0,,,,,,,
Rodger Ward,,22.0,,,,,,,
Eddie Johnson,,22.0,,,,,,,
Gene Hartley,,23.0,,,,,,,
Jimmy Daywalt,,24.0,,,,,,,
Johnny Thomson,,24.0,,,,,,,
Pat Flaherty,,28.0,,,,,,,
Spider Webb,,30.0,,,,,,,
Danny Kladis,,30.0,,,,,,,
Len Duncan,,31.0,,,,,,,
Bill Homeier,,33.0,,,,,,,
Paul Frère,,,Ret,Ret,,Ret,,,
Ottorino Volonterio,,,,,,,,,Ret
Hermann Lang,,,,,,Ret,,,
Clemar Bucci,,,,,Ret,Ret,Ret,Ret,
Jacques Pollet,,,,Ret,,,,,Ret
Roger Loyer,Ret,,,,,,,,
Theo Helfrich,,,,,,Ret,,,
Roy Salvadori,,,,Ret,Ret,,,,
Lance Macklin,,,,Ret,,,,,
Bill Whitehouse,,,,,Ret,,,,
Carlos Menditeguy,DNS,,,,,,,,
Georges Berger,,,,Ret,,,,,
Ron Flockhart,,,,,Ret,,,,
Giovanni de Riu,,,,,,,,DNQ,
John Riseley-Prichard,,,,,Ret,,,,
Reg Parnell,,,,,Ret,,,,
Peter Whitehead,,,,,Ret,,,,
Eric Brandon,,,,,Ret,,,,
Alan Brown,,,,,DNS,,,,
Rodney Nuckey,,,,,DNS,,,,
