Juan Manuel Fangio,1,Ret,,1,1,2,1
Stirling Moss,4,9,,2,2,1,Ret
Eugenio Castellotti,Ret,2,,Ret,5,6,3
Maurice Trintignant,2,1,,6,Ret,Ret,8
Nino Farina,2,4,,3,,,DNS
Piero Taruffi,,8,,DNS,,4,2
Bob Sweikert,,,1.0,,,,
Roberto Mieres,5,Ret,,5,4,Ret,7
Jean Behra,6,3,,5,6,Ret,4
Luigi Musso,7,Ret,,7,3,5,Ret
Karl Kling,4,,,Ret,Ret,3,Ret
Jimmy Davies,,,3.0,,,,
Tony Bettenhausen,,,2.0,,,,
Paul Russo,,,2.0,,,,
Paul Frère,,8,,4,,,
Johnny Thomson,,,4.0,,,,
José Froilán González,2,,,,,,
Cesare Perdisa,,3,,8,,,
Carlos Menditeguy,Ret,,,,,,5
Luigi Villoresi,Ret,5,,,,,DNS
Umberto Maglioli,3,,,,,,6
Hans Herrmann,4,DNQ,,,,,
Walt Faulkner,,,5.0,,,,
Bill Homeier,,,5.0,,,,
Bill Vukovich,,,25.0,,,,
Mike Hawthorn,,Ret,,Ret,7,6,10
Harry Schell,6,Ret,,DNS,,9,Ret
Louis Chiron,,6,,,,,
Andy Linden,,,6.0,,,,
Jacques Pollet,,7,,,10,,Ret
Sergio Mantovani,7,,,,,,
Al Herman,,,7.0,,,,
Mike Sparken,,,,,,7,
Hernando da Silva Ramos,,,,,8,Ret,Ret
Lance Macklin,,DNQ,,,,8,
Pat O'Connor,,,8.0,,,,
Louis Rosier,,Ret,,9,9,,
Ken Wharton,,,,,,9,Ret
Jimmy Daywalt,,,9.0,,,,
John Fitch,,,,,,,9
Pat Flaherty,,,10.0,,,,
Johnny Claes,,,,DNS,11,,
Duane Carter,,,11.0,,,,
Chuck Weyant,,,12.0,,,,
Eddie Johnson,,,13.0,,,,
Jim Rathmann,,,14.0,,,,
Don Freeland,,,15.0,,,,
Cal Niday,,,16.0,,,,
Art Cross,,,17.0,,,,
Shorty Templeman,,,18.0,,,,
Sam Hanks,,,19.0,,,,
Keith Andrews,,,20.0,,,,
Johnnie Parsons,,,21.0,,,,
Eddie Russo,,,22.0,,,,
Ray Crawford,,,23.0,,,,
Jimmy Bryan,,,24.0,,,,
Jack McGrath,,,26.0,,,,
Al Keller,,,27.0,,,,
Rodger Ward,,,28.0,,,,
Johnny Boyd,,,29.0,,,,
Ed Elisian,,,30.0,,,,
Jerry Hoyt,,,31.0,,,,
Fred Agabashian,,,32.0,,,,
Jimmy Reece,,,33.0,,,,
Clemar Bucci,Ret,,,,,,
Jesús Iglesias,Ret,,,,,,
Alberto Ascari,Ret,Ret,,,,,
Jack Brabham,,,,,,Ret,
Horace Gould,,,,,Ret,Ret,Ret
Robert Manzon,,Ret,,,Ret,Ret,
Kenneth McAlpine,,,,,,Ret,
Élie Bayol,Ret,Ret,,,,,
Peter Collins,,,,,,Ret,Ret
Alberto Uria,Ret,,,,,,
Peter Walker,,,,,Ret,Ret,
Roy Salvadori,,,,,,Ret,
André Simon,,Ret,,,,Ret,
Tony Rolt,,,,,,Ret,
Jean Lucas,,,,,,,Ret
Pablo Birger,Ret,,,,,,
Leslie Marr,,,,,,Ret,
Ted Whiteaway,,DNQ,,,,,
Luigi Piotti,,,,,,,DNS
Jack Fairman,,,,,,DNS,
