Juan Manuel Fangio,1,2,,Ret,4,1,1,2
Stirling Moss,Ret,1,,3,5,Ret,2,1
Peter Collins,Ret,2,,1,1,2,Ret,2
Jean Behra,2,3,,7,3,3,3,Ret
Pat Flaherty,,,1.0,,,,,
Eugenio Castellotti,Ret,4,,Ret,2,10,Ret,8
Sam Hanks,,,2.0,,,,,
Paul Frère,,,,2,,,,
Paco Godia,,,,Ret,7,8,4,4
Jack Fairman,,,,,,4,,5
Luigi Musso,1,Ret,,,,,Ret,Ret
Mike Hawthorn,3,WD,,,10,Ret,,
Ron Flockhart,,,,,,Ret,,3
Don Freeland,,,3.0,,,,,
Alfonso de Portago,,,,,Ret,2,Ret,Ret
Cesare Perdisa,,7,,3,5,7,DNS,
Harry Schell,,Ret,,4,10,Ret,Ret,Ret
Johnnie Parsons,,,4.0,,,,,
Louis Rosier,,Ret,,8,6,Ret,5,
Luigi Villoresi,,,,5,Ret,6,Ret,Ret
Horace Gould,,8,,Ret,,5,Ret,
Hernando da Silva Ramos,,5,,,8,Ret,,Ret
Olivier Gendebien,5,,,,Ret,,,
Dick Rathmann,,,5.0,,,,,
Gerino Gerini,4,,,,,,,10
Chico Landi,4,,,,,,,
Paul Russo,,,33.0,,,,,
André Pilette,,6,,6,11,,DNS,
Luigi Piotti,Ret,,,,,,DNS,6
Oscar González,6,,,,,,,
Alberto Uria,6,,,,,,,
Élie Bayol,,6,,,,,,
Bob Sweikert,,,6.0,,,,,
Bob Veith,,,7.0,,,,,
Toulo de Graffenried,,,,,,,,7
Rodger Ward,,,8.0,,,,,
Robert Manzon,,Ret,,,9,9,Ret,Ret
André Simon,,,,,Ret,,,9
Jimmy Reece,,,9.0,,,,,
Cliff Griffith,,,10.0,,,,,
Roy Salvadori,,,,,,Ret,Ret,11
Gene Hartley,,,11.0,,,,,
Bob Gerard,,,,,,11,,
Fred Agabashian,,,12.0,,,,,
Bob Christie,,,13.0,,,,,
Al Keller,,,14.0,,,,,
Eddie Johnson,,,15.0,,,,,
Billy Garrett,,,16.0,,,,,
Duke Dinsmore,,,17.0,,,,,
Pat O'Connor,,,18.0,,,,,
Jimmy Bryan,,,19.0,,,,,
Jim Rathmann,,,20.0,,,,,
Johnnie Tolan,,,21.0,,,,,
Tony Bettenhausen,,,22.0,,,,,
Eddie Russo,,,23.0,,,,,
Ed Elisian,,,23.0,,,,,
Jimmy Daywalt,,,24.0,,,,,
Jack Turner,,,25.0,,,,,
Keith Andrews,,,26.0,,,,,
Andy Linden,,,27.0,,,,,
Al Herman,,,28.0,,,,,
Ray Crawford,,,29.0,,,,,
Johnny Boyd,,,30.0,,,,,
Troy Ruttman,,,31.0,,,,,
Johnny Thomson,,,32.0,,,,,
Bruce Halford,,,,,,Ret,DSQ,Ret
Ottorino Volonterio,,,,,,,NC,
André Milhoux,,,,,,,Ret,
Maurice Trintignant,,Ret,,Ret,Ret,Ret,,Ret
Carlos Menditeguy,Ret,,,,,,,
José Froilán González,Ret,,,,,Ret,,
Umberto Maglioli,,,,,,Ret,Ret,Ret
Piero Taruffi,,,,,Ret,,,Ret
Piero Scotti,,,,Ret,,,,
Desmond Titterington,,,,,,Ret,,
Giorgio Scarlatti,,DNQ,,,,,Ret,
Tony Brooks,,WD,,,,Ret,,
Louis Chiron,,WD,,,,,,
Colin Chapman,,,,,DNS,,,
Jo Bonnier,,,,,,,,Ret
Les Leston,,,,,,,,Ret
Archie Scott Brown,,,,,,Ret,,
Paul Emery,,,,,,Ret,,
Wolfgang von Trips,,,,,,,,DNS
Jack Brabham,,,,,,Ret,,
