Juan Manuel Fangio,1,1,,1,Ret,1,2,2
Stirling Moss,8,Ret,,,1,5,1,1
Luigi Musso,Ret,,,2,2,4,Ret,8
Mike Hawthorn,Ret,Ret,,4,3,2,,6
Tony Brooks,,2,,,1,9,Ret,7
Masten Gregory,,3,,,,8,4,4
Harry Schell,4,Ret,,5,Ret,7,3,5
Sam Hanks,,,1.0,,,,,
Peter Collins,6,Ret,,3,4,3,,Ret
Jim Rathmann,,,2.0,,,,,
Jean Behra,2,,,6,Ret,6,Ret,Ret
Stuart Lewis-Evans,,4,,Ret,7,Ret,5,Ret
Maurice Trintignant,,5,,Ret,4,,,
Wolfgang von Trips,6,Ret,,,,,,3
Carlos Menditeguy,3,Ret,,Ret,Ret,,,
Jimmy Bryan,,,3.0,,,,,
Paul Russo,,,4.0,,,,,
Roy Salvadori,,DNQ,,Ret,5,Ret,Ret,
Andy Linden,,,5.0,,,,,
Giorgio Scarlatti,,Ret,,,,10,6,5
Alfonso de Portago,5,,,,,,,
José Froilán González,5,,,,,,,
Jack Brabham,,6,,7,Ret,Ret,7,
Cesare Perdisa,6,,,,,,,
Johnny Boyd,,,6.0,,,,,
Bob Gerard,,,,,6,,,
Jo Bonnier,7,,,,Ret,,Ret,Ret
Marshall Teague,,,7.0,,,,,
Mike MacDowel,,,,7,,,,
Ivor Bueb,,Ret,,,8,,,
Pat O'Connor,,,8.0,,,,,
Paco Godia,,,,,,Ret,Ret,9
Alessandro de Tomaso,9,,,,,,,
Bob Veith,,,9.0,,,,,
Horace Gould,,Ret,,Ret,DNS,Ret,Ret,10
Luigi Piotti,10,DNQ,,,,,Ret,Ret
Gene Hartley,,,10.0,,,,,
Bruce Halford,,,,,,11,Ret,Ret
André Simon,,DNQ,,,,,,11
Jack Turner,,,11.0,,,,,
Ottorino Volonterio,,,,,,,,11
Johnny Thomson,,,12.0,,,,,
Edgar Barth,,,,,,12,,
Bob Christie,,,13.0,,,,,
Brian Naylor,,,,,,13,,
Chuck Weyant,,,14.0,,,,,
Carel Godin de Beaufort,,,,,,14,,
Tony Bettenhausen,,,15.0,,,,,
Tony Marsh,,,,,,15,,
Johnnie Parsons,,,16.0,,,,,
Don Freeland,,,17.0,,,,,
Jimmy Reece,,,18.0,,,,,
Don Edmunds,,,19.0,,,,,
Johnnie Tolan,,,20.0,,,,,
Al Herman,,,21.0,,,,,
Fred Agabashian,,,22.0,,,,,
Eddie Sachs,,,23.0,,,,,
Mike Magill,,,24.0,,,,,
Eddie Johnson,,,25.0,,,,,
Bill Cheesbourg,,,26.0,,,,,
Al Keller,,,27.0,,,,,
Jimmy Daywalt,,,28.0,,,,,
Ed Elisian,,,29.0,,,,,
Rodger Ward,,,30.0,,,,,
Troy Ruttman,,,31.0,,,,,
Eddie Russo,,,32.0,,,,,
Elmer George,,,33.0,,,,,
Ron Flockhart,,Ret,,Ret,,,,
Eugenio Castellotti,Ret,,,,,,,
Herbert MacKay-Fraser,,,,Ret,,,,
Jack Fairman,,,,,Ret,,,
Les Leston,,DNQ,,,Ret,,,
Hans Herrmann,,DNQ,,,,Ret,,
Umberto Maglioli,,,,,,Ret,,
Paul England,,,,,,Ret,,
Dick Gibson,,,,,,Ret,,
