Mike Hawthorn,3,Ret,5,,2,1,2,Ret,2,2,2
Stirling Moss,1,Ret,1,,Ret,2,Ret,Ret,1,Ret,1
Tony Brooks,,Ret,Ret,,1,Ret,7,1,Ret,1,Ret
Roy Salvadori,,Ret,4,,8,11,3,2,9,5,7
Peter Collins,Ret,3,Ret,,Ret,5,1,Ret,,,
Harry Schell,6,5,2,,5,Ret,5,Ret,6,Ret,5
Maurice Trintignant,,1,9,,7,Ret,8,3,8,Ret,Ret
Luigi Musso,2,2,7,,Ret,Ret,,,,,
Stuart Lewis-Evans,,Ret,Ret,,3,Ret,4,,3,Ret,Ret
Phil Hill,,,,,,7,,9,,3,3
Wolfgang von Trips,,Ret,,,,3,Ret,4,5,Ret,
Jean Behra,5,Ret,3,,Ret,Ret,Ret,Ret,4,Ret,Ret
Jimmy Bryan,,,,1.0,,,,,,,
Juan Manuel Fangio,4,,,,,4,,,,,
George Amick,,,,2.0,,,,,,,
Johnny Boyd,,,,3.0,,,,,,,
Tony Bettenhausen,,,,4.0,,,,,,,
Jack Brabham,,4,8,,Ret,6,6,Ret,7,Ret,11
Cliff Allison,,6,6,,4,Ret,Ret,10,Ret,7,10
Jo Bonnier,,Ret,10,,9,8,Ret,Ret,Ret,Ret,4
Jim Rathmann,,,,5.0,,,,,,,
Masten Gregory,,,Ret,,Ret,,,,,4,6
Carroll Shelby,,,,,,Ret,9,,Ret,4,
Bruce McLaren,,,,,,,,5,,,13
Graham Hill,,Ret,Ret,,Ret,Ret,Ret,Ret,Ret,6,16
Olivier Gendebien,,,,,6,,,,,Ret,Ret
Jimmy Reece,,,,6.0,,,,,,,
Edgar Barth,,,,,,,,6,,,
Ian Burgess,,,,,,,Ret,7,,,
Carlos Menditeguy,7,,,,,,,,,,
Don Freeland,,,,7.0,,,,,,,
Paco Godia,8,DNQ,,,Ret,Ret,,,,,
Jack Fairman,,,,,,,Ret,,,,8
Jud Larson,,,,8.0,,,,,,,
Tony Marsh,,,,,,,,8,,,
Gerino Gerini,,DNQ,,,,9,Ret,,,Ret,12
Hans Herrmann,,,,,,,,Ret,,Ret,9
Horace Gould,9,DNQ,DNS,,,,,,,,
Eddie Johnson,,,,9.0,,,,,,,
Maria Teresa de Filippis,,DNQ,,,10,,,,Ret,Ret,
Troy Ruttman,,,,,,10,,DNS,,,
Bill Cheesbourg,,,,10.0,,,,,,,
Ivor Bueb,,,,,,,Ret,11,,,
Carel Godin de Beaufort,,,11,,,,,Ret,,,
Al Keller,,,,11.0,,,,,,,
Johnnie Parsons,,,,12.0,,,,,,,
Johnnie Tolan,,,,13.0,,,,,,,
Bob Christie,,,,14.0,,,,,,,
Robert La Caze,,,,,,,,,,,14
Dempsey Wilson,,,,15.0,,,,,,,
André Guelfi,,,,,,,,,,,15
A.J. Foyt,,,,16.0,,,,,,,
Mike Magill,,,,17.0,,,,,,,
Paul Russo,,,,18.0,,,,,,,
Shorty Templeman,,,,19.0,,,,,,,
Rodger Ward,,,,20.0,,,,,,,
Billy Garrett,,,,21.0,,,,,,,
Eddie Sachs,,,,22.0,,,,,,,
Johnny Thomson,,,,23.0,,,,,,,
Chuck Weyant,,,,24.0,,,,,,,
Jack Turner,,,,25.0,,,,,,,
Bob Veith,,,,26.0,,,,,,,
Dick Rathmann,,,,27.0,,,,,,,
Ed Elisian,,,,28.0,,,,,,,
Pat O'Connor,,,,29.0,,,,,,,
Paul Goldsmith,,,,30.0,,,,,,,
Jerry Unser,,,,31.0,,,,,,,
Len Sutton,,,,32.0,,,,,,,
Art Bisch,,,,33.0,,,,,,,
Giulio Cabianca,,DNQ,,,,,,,,Ret,
Giorgio Scarlatti,,Ret,Ret,,,,,,,,
Wolfgang Seidel,,,,,Ret,,,Ret,,,Ret
Christian Goethals,,,,,,,,Ret,,,
Ron Flockhart,,DNQ,,,,,,,,,Ret
Ken Kavanagh,,DNQ,,,,,,,,,
Alan Stacey,,,,,,,Ret,,,,
François Picard,,,,,,,,,,,Ret
Tom Bridger,,,,,,,,,,,Ret
Bruce Kessler,,DNQ,,,,,,,,,
Paul Emery,,DNQ,,,,,,,,,
Dick Gibson,,,,,,,,Ret,,,
André Testut,,DNQ,,,,,,,,,
Brian Naylor,,,,,,,,Ret,,,
Luigi Piotti,,DNQ,,,,,,,,,
Bernie Ecclestone,,DNQ,,,,,,,,,
Luigi Taramazzo,,DNQ,,,,,,,,,
Louis Chiron,,DNQ,,,,,,,,,
