Cooper-Climax,1,,2,3,1,4,1,1,1
Ferrari,2,,5,1,,1,3,2,3
BRM,Ret,,1,6,2,5,5,7,
Watson,,1.0,,,,,,,
Team Lotus,Ret,,4,Ret,8,Ret,Ret,Ret,5
Lesovsky,,3.0,,,,,,,
Epperly,,4.0,,,,,,,
Aston Martin,,,Ret,,6,,6,10,
Porsche,Ret,,10,,,,,,7
Kurtis Kraft,,7.0,,,,,,,Ret
Maserati,DNQ,,,8,Ret,,,15,DNS
Kuzma,,10.0,,,,,,,
Moore,,12.0,,,,,,,
Dunn,,13.0,,,,,,,
Elder,,23.0,,,,,,,
Phillips,,24.0,,,,,,,
Christensen,,27.0,,,,,,,
Sutton,,30.0,,,,,,,
Tec-Mec,,,,,,,,,Ret
Connaught,,,,,,,,,Ret
JBW,,,,,Ret,,,,
Vanwall,,,,,Ret,,,,
Fry,,,,,DNQ,,,,
