Jack Brabham,Ret,DSQ,,1,1,1,1,1,,4
Bruce McLaren,1,2,,Ret,2,3,4,2,,3
Stirling Moss,3,1,,4,DNS,,,DSQ,,1
Innes Ireland,6,9,,2,Ret,7,3,6,,2
Phil Hill,8,3,,Ret,4,12,7,Ret,1,6
Olivier Gendebien,,,,,3,2,9,7,,12
Wolfgang von Trips,5,8,,5,Ret,11,6,4,5,9
Jim Rathmann,,,1.0,,,,,,,
Richie Ginther,,6,,6,,DNS,,,2,
Jim Clark,,,,Ret,5,5,16,3,,16
Tony Brooks,,4,,Ret,Ret,Ret,5,5,,Ret
John Surtees,,Ret,,,,,2,Ret,,Ret
Cliff Allison,2,DNQ,,,,,,,,
Rodger Ward,,,2.0,,,,,,,
Graham Hill,Ret,7,,3,Ret,Ret,Ret,Ret,,Ret
Willy Mairesse,,,,,Ret,Ret,,,3,
Paul Goldsmith,,,3.0,,,,,,,
Jo Bonnier,7,5,,Ret,Ret,Ret,Ret,Ret,,5
Henry Taylor,,,,7,,4,8,,,14
Carlos Menditeguy,4,,,,,,,,,
Don Branson,,,4.0,,,,,,,
Giulio Cabianca,,,,,,,,,4,
Johnny Thomson,,,5.0,,,,,,,
Lucien Bianchi,,,,,6,Ret,Ret,,,
Ron Flockhart,,,,,,6,,,,Ret
Eddie Johnson,,,6.0,,,,,,,
Hans Herrmann,,,,,,,,,6,
Maurice Trintignant,3,Ret,,Ret,,Ret,11,,,15
Lloyd Ruby,,,7.0,,,,,,,
Edgar Barth,,,,,,,,,7,
Jim Hall,,,,,,,,,,7
Roy Salvadori,,Ret,,DNS,,,Ret,,,8
Bruce Halford,,DNQ,,,,8,,,,
Bob Veith,,,8.0,,,,,,,
Carel Godin de Beaufort,,,,8,,,,,,
Piero Drogo,,,,,,,,,8,
Masten Gregory,12,DNQ,,DNS,,9,14,Ret,,
Alberto Rodriguez Larreta,9,,,,,,,,,
Bud Tingelstad,,,9.0,,,,,,,
Wolfgang Seidel,,,,,,,,,9,
Dan Gurney,,Ret,,Ret,Ret,Ret,10,Ret,,Ret
Chuck Daigh,,DNQ,,DNS,Ret,DNS,Ret,,,10
Ian Burgess,,DNQ,,,,10,Ret,,,Ret
José Froilán González,10,,,,,,,,,
Bob Christie,,,10.0,,,,,,,
Fred Gamble,,,,,,,,,10,
Roberto Bonomi,11,,,,,,,,,
Red Amick,,,11.0,,,,,,,
Pete Lovely,,,,,,,,,,11
David Piper,,,,,,DNS,12,,,
Duane Carter,,,12.0,,,,,,,
Gino Munaron,13,,,,,Ret,15,,Ret,
Brian Naylor,,DNQ,,,,,13,,Ret,Ret
Bill Homeier,,,13.0,,,,,,,
Robert Drake,,,,,,,,,,13
Nasif Estéfano,14,,,,,,,,,
Gene Hartley,,,14.0,,,,,,,
Chuck Stevenson,,,15.0,,,,,,,
Bobby Grim,,,16.0,,,,,,,
Shorty Templeman,,,17.0,,,,,,,
Jim Hurtubise,,,18.0,,,,,,,
Jimmy Bryan,,,19.0,,,,,,,
Troy Ruttman,,,20.0,,,,,,,
Eddie Sachs,,,21.0,,,,,,,
Don Freeland,,,22.0,,,,,,,
Tony Bettenhausen,,,23.0,,,,,,,
Wayne Weiler,,,24.0,,,,,,,
A.J. Foyt,,,25.0,,,,,,,
Eddie Russo,,,26.0,,,,,,,
Johnny Boyd,,,27.0,,,,,,,
Gene Force,,,28.0,,,,,,,
Jim McWithey,,,29.0,,,,,,,
Len Sutton,,,30.0,,,,,,,
Dick Rathmann,,,31.0,,,,,,,
Al Herman,,,32.0,,,,,,,
Dempsey Wilson,,,33.0,,,,,,,
Alan Stacey,Ret,Ret,,Ret,Ret,,,,,
Mario de Araujo Cabral,,,,,,,,Ret,,
Chris Bristow,,Ret,,Ret,Ret,,,,,
Alfonso Thiele,,,,,,,,,Ret,
Giorgio Scarlatti,Ret,DNQ,,,,,,,Ret,
Harry Schell,Ret,,,,,,,,,
Vic Wilson,,,,,,,,,Ret,
Arthur Owen,,,,,,,,,Ret,
Lance Reventlow,,DNQ,,DNS,Ret,,WD,,,
Horace Gould,,,,,,,,,DNS,
Mike Taylor,,,,,DNS,,,,,
Ettore Chimeri,Ret,,,,,,,,,
Antonio Creus,Ret,,,,,,,,,
Jack Fairman,,,,,,,Ret,,,
Keith Greene,,,,,,,Ret,,,
