Phil Hill,3,2,1,9,2,3,1,
Wolfgang von Trips,4,1,2,Ret,1,2,Ret,
Stirling Moss,1,4,8,Ret,DSQ,1,Ret,Ret
Dan Gurney,5,10,6,2,7,7,2,2
Richie Ginther,2,5,3,15,3,8,Ret,
Innes Ireland,DNS,,Ret,4,10,Ret,Ret,1
Jim Clark,10,3,12,3,Ret,4,Ret,7
Bruce McLaren,6,12,Ret,5,8,6,3,4
Giancarlo Baghetti,,,,1,Ret,,Ret,
Tony Brooks,13,9,13,Ret,9,Ret,5,3
Jack Brabham,Ret,6,Ret,Ret,4,Ret,Ret,Ret
John Surtees,11,7,5,Ret,Ret,5,Ret,Ret
Jackie Lewis,,,9,Ret,Ret,9,4,
Olivier Gendebien,DNQ,,4,WD,WD,,,11
Jo Bonnier,12,11,7,7,5,Ret,Ret,6
Graham Hill,Ret,8,Ret,6,Ret,Ret,Ret,5
Roy Salvadori,,,,8,6,10,6,Ret
Maurice Trintignant,7,,Ret,13,,Ret,9,
Carel Godin de Beaufort,,14,11,Ret,16,14,7,
Lorenzo Bandini,,,Ret,,12,Ret,8,
Cliff Allison,8,,DNS,,,,,
Roger Penske,,,,,,,,8
Hans Herrmann,9,15,,WD,,13,,
Peter Ryan,,,,,,,,9
Masten Gregory,DNQ,DNS,10,12,11,WD,Ret,Ret
Henry Taylor,DNQ,,DNS,10,Ret,,11,
Tim Parnell,,,,,Ret,,10,
Hap Sharp,,,,,,,,10
Tony Maggs,,,,,13,11,,
Michael May,Ret,,,11,,WD,WD,
Ian Burgess,,DNS,DNS,14,14,12,,
Renato Pirocchi,,,,,,WD,12,
Trevor Taylor,,13,,,,,,
Tony Marsh,,,DNS,,Ret,15,,
Keith Greene,,,,,15,,,
Gerry Ashmore,,,,,Ret,16,Ret,
Wolfgang Seidel,,,DNS,DNS,17,Ret,Ret,
Jim Hall,,,,,,,,Ret
Lloyd Ruby,,,,,,,,Ret
Gaetano Starrabba,,,,,,,Ret,
Willy Mairesse,,,Ret,Ret,,Ret,,
Ricardo Rodríguez,,,,,,,Ret,
Walt Hansgen,,,,,,,,Ret
Lucien Bianchi,DNQ,,Ret,Ret,Ret,,,
Bernard Collomb,,,,Ret,,NC,,
Jack Fairman,,,,,DSQ,,Ret,
Nino Vaccarella,,,,,,,Ret,
Ken Miles,,,,,,,,WD
Giorgio Scarlatti,,,,Ret,,,,
Brian Naylor,,,,WD,,,Ret,
Edgar Barth,,,,,,WD,DNS,
Juan Manuel Bordeu,,,,DNS,,,,
Roberto Bussinello,,,,,,,Ret,
Massimo Natili,,,,,Ret,,DNS,
Piero Monteverdi,,,,,,WD,,
Roberto Lippi,,,,,,,Ret,
Geoff Duke,,,,,,WD,,
John Campbell-Jones,,,,,,WD,,
André Pilette,,,,,,,DNQ,
Alfonso Thiele,,,,,,,WD,
Ernesto Prinoth,,,,,,,WD,
Menato Boffa,,,,,,,WD,
