Graham Hill,1,6,2,9,4,1,1,2,1
Jim Clark,9,Ret,1,Ret,1,4,Ret,1,Ret
Bruce McLaren,Ret,1,Ret,4,3,5,3,3,2
John Surtees,Ret,4,5,5,2,2,Ret,Ret,Ret
Dan Gurney,Ret,Ret,DNS,1,9,3,13,5,
Phil Hill,3,2,3,,Ret,Ret,11,,
Tony Maggs,5,Ret,Ret,2,6,9,7,7,3
Richie Ginther,Ret,Ret,Ret,3,13,8,2,Ret,7
Jack Brabham,Ret,8,6,Ret,5,Ret,,4,4
Trevor Taylor,2,Ret,Ret,8,8,Ret,Ret,12,Ret
Giancarlo Baghetti,4,,Ret,,,10,5,,
Lorenzo Bandini,,3,,,,Ret,8,,
Ricardo Rodríguez,Ret,DNS,4,,,6,14,,
Willy Mairesse,,7,Ret,,,,4,,
Jo Bonnier,7,5,WD,Ret,Ret,7,6,13,
Innes Ireland,Ret,Ret,Ret,Ret,16,,Ret,8,5
Carel Godin de Beaufort,6,DNQ,7,6,14,13,10,Ret,11
Masten Gregory,Ret,DNQ,Ret,Ret,7,,12,6,
Neville Lederle,,,,,,,,,6
Maurice Trintignant,WD,Ret,8,7,WD,Ret,Ret,Ret,
Jackie Lewis,8,DNQ,,Ret,10,Ret,,,
John Love,,,,,,,,,8
Nino Vaccarella,,DNQ,,,,15,9,,
Lucien Bianchi,,,9,,,16,,,
Roger Penske,,,,,,,,9,
Bruce Johnstone,,,,,,,,,9
Jo Siffert,,DNQ,10,Ret,WD,12,DNQ,,
Rob Schroeder,,,,,,,,10,
Ernie Pieterse,,,,,,,,,10
Ian Burgess,,,,WD,12,11,DNQ,,
Tony Settember,,,,,11,,Ret,,WD
John Campbell-Jones,,,11,,WD,,,,
Hap Sharp,,,,,,,,11,
Heini Walter,,,,,,14,,,
Jay Chamberlain,,,,,15,DNQ,DNQ,,
Roy Salvadori,Ret,Ret,WD,Ret,Ret,Ret,Ret,DNS,Ret
Doug Serrurier,,,,,,,,,Ret
Wolfgang Seidel,NC,,,,Ret,DNQ,,,
Mike Harris,,,,,,,,,Ret
Timmy Mayer,,,,,,,,Ret,
Peter Arundell,,,,WD,,,,,
Gary Hocking,,,,,,,,,WD
Tony Marsh,,WD,WD,WD,,WD,,,
Syd van der Vyver,,,,,,,,,WD
Keith Greene,,,,,DNS,Ret,DNQ,,
Ben Pon,Ret,,,,,,,,
Colin Davis,,,,WD,,,,,
Jim Hall,,,,,,,,DNS,
Tony Shelly,,,,,Ret,DNQ,DNQ,,
Rob Slotemaker,WD,,,,,,,,
Carlo Abate,,,,WD,,,,,
Sam Tingle,,,,,,,,,WD
Jack Lewis,,,WD,,,,,,
Gerry Ashmore,,,WD,,,,DNQ,,
Roberto Bussinello,,WD,,,,,,,
Heinz Schiller,,,WD,,,Ret,,,
Bernard Collomb,,,,,,Ret,,,
Ernesto Prinoth,,,,,,,DNQ,,
Roberto Lippi,,,,,,,DNQ,,
Günther Seiffert,,,,,,DNQ,,,
Nasif Estéfano,,,,,,,DNQ,,
Kurt Kuhnke,,,,,,,WD,,
