Jim Clark,8,1,1,1,1,2,1,3,1,1
Graham Hill,1,Ret,Ret,3,3,Ret,16,1,4,3
Richie Ginther,2,4,5,Ret,4,3,2,2,3,Ret
John Surtees,4,Ret,3,Ret,2,1,Ret,9,DSQ,Ret
Dan Gurney,Ret,3,2,5,Ret,Ret,14,Ret,6,2
Bruce McLaren,3,2,Ret,12,Ret,Ret,3,11,Ret,4
Jack Brabham,9,Ret,Ret,4,Ret,7,5,4,2,13
Tony Maggs,5,7,Ret,2,9,Ret,6,Ret,Ret,7
Innes Ireland,Ret,Ret,4,9,Ret,Ret,4,WD,WD,
Lorenzo Bandini,WD,WD,,10,5,Ret,Ret,5,Ret,5
Jo Bonnier,7,5,11,NC,Ret,6,7,8,5,6
Gerhard Mitter,,,Ret,,,4,WD,,,
Jim Hall,Ret,Ret,8,11,6,5,8,10,8,
Carel Godin de Beaufort,WD,6,9,,10,Ret,DNQ,6,10,10
Jo Siffert,Ret,Ret,7,6,Ret,9,Ret,Ret,9,
Trevor Taylor,6,Ret,10,13,Ret,8,,Ret,Ret,8
Ludovico Scarfiotti,,WD,6,DNS,,,,,,
Chris Amon,DNS,Ret,Ret,7,7,Ret,DNS,,Ret,
Hap Sharp,,,,,,,,Ret,7,
Peter Broeker,,,,,,,,7,,
Maurice Trintignant,Ret,,,8,,,9,,,
Mike Hailwood,,,,,8,,10,,,WD
Tony Settember,WD,8,WD,Ret,Ret,Ret,DNQ,,,
John Love,,,,,,,,,,9
Bernard Collomb,DNQ,,,,,10,,,,
Phil Hill,WD,Ret,Ret,NC,WD,WD,11,Ret,Ret,
Masten Gregory,,,,Ret,11,WD,Ret,Ret,Ret,
Moisés Solana,,,,,,,,,11,
Doug Serrurier,,,,,,,,,,11
Bob Anderson,,,,,12,,12,,,
Trevor Blokdyk,,,,,,,,,,12
John Campbell-Jones,WD,,,,13,,,,,
Mike Spence,,,,,,,13,,,
Brausch Niemann,,,,,,,,,,14
Giancarlo Baghetti,WD,Ret,Ret,WD,WD,WD,15,Ret,Ret,
Willy Mairesse,Ret,Ret,,,,Ret,,,,
Lucien Bianchi,,Ret,,,,,,,,
Mario de Araujo Cabral,,,,,,Ret,DNQ,,,
Rodger Ward,,,,,,,,Ret,,
Pedro Rodríguez,,,,,,,,Ret,Ret,
Ian Burgess,WD,WD,WD,WD,Ret,Ret,WD,,,
Peter de Klerk,,,,,,,,,,Ret
David Prophet,,,,,,,,,,Ret
Ian Raby,,,,,Ret,DNQ,DNQ,,,
Ernie Pieterse,,,,,,,,,,Ret
Sam Tingle,,,,,,,,,,Ret
Peter Arundell,,WD,,DNS,,,,,,
Paddy Driver,,,,,,,,,,DNS
Walt Hansgen,,,,,,,,WD,WD,
Frank Dochnal,,,,,,,,,DNS,
Neville Lederle,,,,,,,,,,WD
Nasif Estéfano,WD,,,WD,DNP,,,,,
André Pilette,,,,,,DNQ,DNQ,,,
Ernie de Vos,,,,,,,,WD,,
Tim Parnell,,,,,,DNQ,,,,
Thomas Monarch,,,,,,,,,WD,
Kurt Kuhnke,,,,,,DNQ,,,,
Ernesto Brambilla,,,,,,,DNQ,,,
Roberto Lippi,,,,,,,DNQ,,,
Günther Seiffert,,,,,,,WD,,,
Carlo Abate,,,,,,,WD,,,
Gaetano Starrabba,,,,,,,WD,,,
