John Surtees,Ret,2,Ret,Ret,3,1,Ret,1,2,2
Graham Hill,1,4,5,2,2,2,Ret,Ret,1,11
Jim Clark,4,1,1,Ret,1,Ret,Ret,15,7,5
Lorenzo Bandini,10,Ret,Ret,9,5,3,1,3,Ret,3
Richie Ginther,2,11,4,5,8,7,2,4,4,8
Dan Gurney,Ret,Ret,6,1,13,10,Ret,10,Ret,1
Bruce McLaren,Ret,7,2,6,Ret,Ret,Ret,2,Ret,7
Jack Brabham,Ret,Ret,3,3,4,12,9,14,Ret,Ret
Peter Arundell,3,3,9,4,,,,,,
Jo Siffert,8,13,Ret,Ret,11,4,Ret,7,3,Ret
Bob Anderson,7,6,,12,7,Ret,3,11,,
Mike Spence,,,,,9,8,Ret,6,Ret,4
Tony Maggs,WD,DNS,,,Ret,6,4,,,
Innes Ireland,DNS,,10,Ret,10,,5,5,Ret,12
Jo Bonnier,5,9,Ret,,Ret,Ret,6,12,Ret,Ret
Chris Amon,DNQ,5,Ret,10,Ret,11,Ret,,Ret,Ret
Maurice Trintignant,Ret,,,11,DNQ,5,,Ret,,
Walt Hansgen,,,,,,,,,5,
Phil Hill,9,8,Ret,7,6,Ret,Ret,,Ret,9
Trevor Taylor,Ret,,7,Ret,Ret,,Ret,DNQ,6,Ret
Mike Hailwood,6,12,,8,Ret,Ret,8,Ret,8,Ret
Pedro Rodríguez,,,,,,,,,,6
Giancarlo Baghetti,WD,10,8,,12,Ret,7,8,,
Gerhard Mitter,,,,,,9,,,,
Ludovico Scarfiotti,,,,,,,,9,,
Moisés Solana,,,,,,,,,,10
Peter Revson,DNQ,,DSQ,,Ret,14,,13,,
Hap Sharp,,,,,,,,,NC,13
Ronnie Bucknum,,,,,,13,,Ret,Ret,
John Taylor,,,,,14,,,,,
Jochen Rindt,,,,,,,Ret,,,
André Pilette,WD,,Ret,,,DNQ,,,,
Mario de Araujo Cabral,,,,,,,,Ret,,
Carel Godin de Beaufort,,Ret,,,,,,,,
Ian Raby,,,,,Ret,,,DNQ,,
Edgar Barth,,,,,,Ret,,,,
Bernard Collomb,DNQ,,,,,,,,,
"Giacomo ""Geki"" Russo",,,,,,,,DNQ,,
Frank Gardner,,,,,Ret,,,,,
John Love,,,,,,,,DNQ,,
Richard Attwood,,,,,DNS,,,,,
