Jack Brabham,Ret,4,1,1,1,1,Ret,Ret,2
John Surtees,Ret,1,Ret,Ret,Ret,2,Ret,3,1
Jochen Rindt,Ret,2,4,5,Ret,3,4,2,Ret
Denny Hulme,Ret,Ret,3,2,Ret,Ret,3,Ret,3
Graham Hill,3,Ret,Ret,3,2,4,Ret,Ret,Ret
Jim Clark,Ret,Ret,,4,3,Ret,Ret,1,Ret
Jackie Stewart,1,Ret,,Ret,4,5,Ret,Ret,Ret
Mike Parkes,,,2,,Ret,Ret,2,,
Lorenzo Bandini,2,3,NC,,6,6,Ret,Ret,
Ludovico Scarfiotti,,,,,,Ret,1,,
Richie Ginther,Ret,5,,,,,Ret,NC,4
Dan Gurney,,NC,5,Ret,Ret,7,Ret,Ret,5
Mike Spence,Ret,Ret,Ret,Ret,5,Ret,5,Ret,DNS
Bob Bondurant,4,Ret,,9,,Ret,7,DSQ,Ret
Jo Siffert,Ret,Ret,Ret,NC,Ret,,Ret,4,Ret
Bruce McLaren,Ret,DNS,,6,,,,5,Ret
Peter Arundell,,DNS,Ret,Ret,Ret,8,8,6,7
Jo Bonnier,NC,Ret,NC,Ret,7,Ret,Ret,NC,6
Bob Anderson,Ret,,7,NC,Ret,Ret,6,,
John Taylor,,,6,8,8,Ret,,,
Chris Irwin,,,,7,,,,,
Ronnie Bucknum,,,,,,,,Ret,8
Chris Amon,,,8,,,,DNQ,,
Guy Ligier,NC,NC,NC,10,9,DNS,,,
"Giacomo ""Geki"" Russo",,,,,,,9,,
Chris Lawrence,,,,11,,Ret,,,
Innes Ireland,,,,,,,,Ret,Ret
Pedro Rodríguez,,,Ret,,,,,Ret,Ret
Giancarlo Baghetti,,,,,,,NC,,
Moisés Solana,,,,,,,,,Ret
Vic Wilson,,DNS,,,,,,,
Trevor Taylor,,,,Ret,,,,,
Phil Hill,,,,,,,DNQ,,
