Denny Hulme,4,1,3,Ret,2,2,1,2,Ret,3,3
Jack Brabham,6,Ret,2,Ret,1,4,2,1,2,5,2
Jim Clark,Ret,Ret,1,6,Ret,1,Ret,Ret,3,1,1
John Surtees,3,Ret,Ret,Ret,,6,4,,1,Ret,4
Chris Amon,,3,4,3,Ret,3,3,6,7,Ret,9
Pedro Rodríguez,1,5,Ret,9,6,5,11,,,,6
Graham Hill,Ret,2,Ret,Ret,Ret,Ret,Ret,4,Ret,2,Ret
Dan Gurney,Ret,Ret,Ret,1,Ret,Ret,Ret,3,Ret,Ret,Ret
Jackie Stewart,Ret,Ret,Ret,2,3,Ret,Ret,Ret,Ret,Ret,Ret
Mike Spence,Ret,6,8,5,Ret,Ret,Ret,5,5,Ret,5
John Love,2,,,,,,,,,,
Jo Siffert,Ret,Ret,10,7,4,Ret,Ret,,Ret,4,12
Jochen Rindt,Ret,Ret,Ret,4,Ret,Ret,Ret,Ret,4,Ret,
Bruce McLaren,,4,Ret,,Ret,Ret,Ret,7,Ret,Ret,Ret
Jo Bonnier,Ret,,,Ret,,Ret,6,8,Ret,6,10
Chris Irwin,,,7,Ret,5,7,9,Ret,Ret,Ret,Ret
Bob Anderson,5,DNQ,9,8,Ret,Ret,,,,,
Mike Parkes,,,5,Ret,,,,,,,
Jacky Ickx,,,,,,,Ret,,6,Ret,
Ludovico Scarfiotti,,,6,NC,,,,,Ret,,
Guy Ligier,,,,10,NC,10,8,,Ret,Ret,11
Jackie Oliver,,,,,,,5,,,,
Jean-Pierre Beltoise,,DNQ,,,,,,,,7,7
Alan Rees,,,,,,9,7,,,,
David Hobbs,,,,,,8,10,9,,,
Jonathan Williams,,,,,,,,,,,8
Richard Attwood,,,,,,,,10,,,
Mike Fisher,,,,,,,,11,,,Ret
Dave Charlton,NC,,,,,,,,,,
Lorenzo Bandini,,Ret,,,,,,,,,
Piers Courage,Ret,Ret,,,,DNS,,,,,
Luki Botha,NC,,,,,,,,,,
Sam Tingle,Ret,,,,,,,,,,
Giancarlo Baghetti,,,,,,,,,Ret,,
Eppie Wietzes,,,,,,,,DSQ,,,
Brian Hart,,,,,,,NC,,,,
Johnny Servoz-Gavin,,Ret,,,,,,,,,
Silvio Moser,,,,,,Ret,,,,,
Al Pease,,,,,,,,NC,,,
Moisés Solana,,,,,,,,,,Ret,Ret
Hubert Hahne,,,,,,,Ret,,,,
Tom Jones,,,,,,,,DNQ,,,
Richie Ginther,,DNQ,,,,,,,,,
Kurt Ahrens Jr.,,,,,,,Ret,,,,
Jo Schlesser,,,,,,,Ret,,,,
Gerhard Mitter,,,,,,,Ret,,,,
