Graham Hill,2,1,1,Ret,9,Ret,Ret,2,Ret,4,2,1
Jackie Stewart,Ret,,,4,1,3,6,1,Ret,6,1,7
Denny Hulme,5,2,5,Ret,Ret,5,4,7,1,1,Ret,Ret
Jacky Ickx,Ret,Ret,,3,4,1,3,4,3,DNS,,Ret
Bruce McLaren,,Ret,Ret,1,Ret,8,7,13,Ret,2,6,2
Pedro Rodríguez,Ret,Ret,Ret,2,3,NC,Ret,6,Ret,3,Ret,4
Jo Siffert,7,Ret,Ret,7,Ret,11,1,Ret,Ret,Ret,5,6
John Surtees,8,Ret,Ret,Ret,Ret,2,5,Ret,Ret,Ret,3,Ret
Jean-Pierre Beltoise,6,5,Ret,8,2,9,Ret,Ret,5,Ret,Ret,Ret
Chris Amon,4,Ret,,Ret,6,10,2,Ret,Ret,Ret,Ret,Ret
Jim Clark,1,,,,,,,,,,,
Jochen Rindt,3,Ret,Ret,Ret,Ret,Ret,Ret,3,Ret,Ret,Ret,Ret
Richard Attwood,,,2,Ret,7,7,Ret,14,,,,
Johnny Servoz-Gavin,,,Ret,,,Ret,,,2,Ret,,Ret
Jackie Oliver,,,Ret,5,NC,,Ret,11,Ret,Ret,DNS,3
Ludovico Scarfiotti,Ret,4,4,,,,,,,,,
Lucien Bianchi,,,3,6,Ret,,,Ret,,NC,NC,Ret
Vic Elford,,,,,,4,Ret,Ret,Ret,5,Ret,8
Brian Redman,Ret,3,,Ret,,,,,,,,
Piers Courage,,Ret,Ret,Ret,Ret,6,8,8,4,Ret,Ret,Ret
Dan Gurney,Ret,,Ret,,Ret,,Ret,9,Ret,Ret,4,Ret
Jo Bonnier,Ret,,,Ret,8,,Ret,,6,Ret,NC,5
Jack Brabham,Ret,,Ret,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,10
Silvio Moser,,,,,5,,NC,,DNQ,,,
Henri Pescarolo,,,,,,,,,,Ret,,9
John Love,9,,,,,,,,,,,
Hubert Hahne,,,,,,,,10,,,,
Kurt Ahrens Jr.,,,,,,,,12,,,,
Jackie Pretorius,NC,,,,,,,,,,,
David Hobbs,,,,,,,,,Ret,,,
Robin Widdows,,,,,,,Ret,,,,,
Sam Tingle,Ret,,,,,,,,,,,
Bobby Unser,,,,,,,,,DNS,,Ret,
Jo Schlesser,,,,,,Ret,,,,,,
Moisés Solana,,,,,,,,,,,,Ret
Mario Andretti,,,,,,,,,DNS,,Ret,
Bill Brack,,,,,,,,,,Ret,,
Derek Bell,,,,,,,,,Ret,,Ret,
Andrea de Adamich,Ret,,,,,,,,,,,
Mike Spence,Ret,,,,,,,,,,,
Dave Charlton,Ret,,,,,,,,,,,
Frank Gardner,,,,,,,,,DNQ,,,
,,,,,,,,,,,,
