Jochen Rindt,13,Ret,1,Ret,1,1,1,1,Ret,DNS,,,
Jacky Ickx,Ret,Ret,Ret,8,3,Ret,Ret,2,1,Ret,1,4,1
Clay Regazzoni,,,,,4,,4,Ret,2,1,2,13,2
Denny Hulme,2,Ret,4,,,4,3,3,Ret,4,Ret,7,3
Jackie Stewart,3,1,Ret,Ret,2,9,Ret,Ret,Ret,2,Ret,Ret,Ret
Jack Brabham,1,Ret,2,Ret,11,3,2,Ret,13,Ret,Ret,10,Ret
Pedro Rodríguez,9,WD,6,1,10,Ret,Ret,Ret,4,Ret,4,2,6
Chris Amon,Ret,Ret,Ret,2,Ret,2,5,Ret,8,7,3,5,4
Jean-Pierre Beltoise,4,Ret,Ret,3,5,13,Ret,Ret,6,3,8,Ret,5
Emerson Fittipaldi,,,,,,,8,4,15,WD,,1,Ret
Rolf Stommelen,Ret,Ret,DNQ,5,DNQ,7,,5,3,5,Ret,12,Ret
Henri Pescarolo,7,Ret,3,6,8,5,Ret,6,14,Ret,7,8,9
Graham Hill,6,4,5,Ret,NC,10,6,Ret,,WD,NC,Ret,Ret
Bruce McLaren,Ret,2,Ret,,,,,,,,,,
Reine Wisell,,,,,,,,,,,,3,NC
Mario Andretti,Ret,3,,,,,Ret,Ret,Ret,,,,
Ignazio Giunti,,,,4,,14,,,7,Ret,,,
John Surtees,Ret,Ret,Ret,,6,,Ret,9,Ret,Ret,5,Ret,8
John Miles,5,DNQ,DNQ,Ret,7,8,Ret,Ret,Ret,WD,,,
Jackie Oliver,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,NC,Ret,7
Johnny Servoz-Gavin,Ret,5,DNQ,,,,,,,,,,
François Cevert,,,,,Ret,11,7,7,Ret,6,9,Ret,Ret
Peter Gethin,,,,,Ret,,,Ret,10,NC,6,14,Ret
Dan Gurney,,,,,Ret,6,Ret,,,,,,
Derek Bell,,,,Ret,,,,,,,,6,
Jo Siffert,10,DNQ,8,7,Ret,Ret,Ret,8,9,Ret,Ret,9,Ret
Ronnie Peterson,,,7,NC,9,Ret,9,Ret,,Ret,NC,11,
Andrea de Adamich,,DNQ,DNQ,,DNQ,NC,Ret,DNQ,12,8,Ret,DNQ,
John Love,8,,,,,,,,,,,,
George Eaton,Ret,DNQ,DNQ,,Ret,12,Ret,,11,Ret,10,Ret,
Peter de Klerk,11,,,,,,,,,,,,
Dave Charlton,12,,,,,,,,,,,,
Piers Courage,Ret,DNS,NC,Ret,Ret,,,,,,,,
Pete Lovely,,,,,DNQ,DNQ,NC,,,,,DNQ,
Tim Schenken,,,,,,,,,Ret,Ret,NC,Ret,
Jo Bonnier,,,,,,,,,,DNQ,,Ret,
Silvio Moser,,,,,DNQ,DNQ,,DNQ,Ret,DNQ,,,
Gus Hutchison,,,,,,,,,,,,Ret,
Alex Soler-Roig,,DNQ,,,,DNQ,,,,,,,
Brian Redman,,,,,,,,DNQ,,,,,
Hubert Hahne,,,,,,,,DNQ,,,,,
Peter Westbury,,,,,,,,,,,,DNQ,
Nanni Galli,,,,,,,,,,DNQ,,,
