Jackie Stewart,2,1,1,11,1,1,1,Ret,Ret,1,5
Ronnie Peterson,10,Ret,2,4,Ret,2,5,8,2,2,3
François Cevert,Ret,7,Ret,Ret,2,10,2,Ret,3,6,1
Jacky Ickx,8,2,3,1,Ret,Ret,Ret,Ret,Ret,8,NC
Jo Siffert,Ret,Ret,Ret,6,4,9,DSQ,1,9,9,2
Emerson Fittipaldi,Ret,Ret,5,,3,3,Ret,2,8,7,NC
Clay Regazzoni,3,Ret,Ret,3,Ret,Ret,3,Ret,Ret,Ret,6
Mario Andretti,1,Ret,DNQ,Ret,,,4,,,13,
Peter Gethin,Ret,8,Ret,NC,9,Ret,Ret,10,1,14,9
Pedro Rodríguez,Ret,4,9,2,Ret,,,,,,
Chris Amon,5,3,Ret,Ret,5,Ret,Ret,,6,10,12
Reine Wisell,4,NC,Ret,DSQ,6,NC,8,4,,5,Ret
Denny Hulme,6,5,4,12,Ret,Ret,Ret,Ret,,4,Ret
Tim Schenken,,9,10,Ret,12,12,6,3,Ret,Ret,Ret
Howden Ganley,Ret,10,DNQ,7,10,8,Ret,Ret,5,Ret,4
Mark Donohue,,,,,,,,,,3,
Henri Pescarolo,11,Ret,8,NC,NC,4,Ret,6,Ret,,Ret
Mike Hailwood,,,,,,,,,4,,15
John Surtees,Ret,11,7,5,8,6,7,Ret,Ret,11,17
Rolf Stommelen,12,Ret,6,DSQ,11,5,10,7,Ret,Ret,
Graham Hill,9,Ret,Ret,10,Ret,Ret,9,5,Ret,Ret,7
Jean-Pierre Beltoise,,6,Ret,9,7,7,,,,Ret,8
Jackie Oliver,,,,,,Ret,,9,7,,
Brian Redman,7,,,,,,,,,,
Gijs Van Lennep,,,,8,,,,,,,
Jo Bonnier,Ret,,,,,,DNQ,Ret,10,,16
David Hobbs,,,,,,,,,,,10
Nanni Galli,,,,,,11,12,12,Ret,16,Ret
Helmut Marko,,,,,,,,11,Ret,12,13
Andrea de Adamich,13,,,,Ret,NC,Ret,,Ret,,11
Vic Elford,,,,,,,11,,,,
François Mazet,,,,,13,,,,,,
John Cannon,,,,,,,,,,,14
George Eaton,,,,,,,,,,15,
Jean-Pierre Jarier,,,,,,,,,NC,,
Mike Beuttler,,,,,,Ret,DSQ,NC,NC,NC,
Skip Barber,,,DNQ,NC,,,,,,Ret,NC
Max Jean,,,,,NC,,,,,,
Alex Soler-Roig,Ret,Ret,DNQ,Ret,Ret,,,,,,
Niki Lauda,,,,,,,,Ret,,,
Pete Lovely,,,,,,,,,,NC,NC
Dave Charlton,Ret,,,,,Ret,,,,,
Derek Bell,,,,,,Ret,,,,,
John Love,Ret,,,,,,,,,,
Silvio Moser,,,,,,,,,Ret,,
Jackie Pretorius,Ret,,,,,,,,,,
David Walker,,,,Ret,,,,,,,
Chris Craft,,,,,,,,,,DNQ,Ret
Sam Posey,,,,,,,,,,,Ret
Peter Revson,,,,,,,,,,,Ret
