Emerson Fittipaldi,Ret,2,1,3,1,2,1,Ret,1,1,11,Ret
Jackie Stewart,1,Ret,Ret,4,,1,2,11,7,Ret,1,1
Denny Hulme,2,1,Ret,15,3,7,5,Ret,2,3,3,3
Jacky Ickx,3,8,2,2,Ret,11,Ret,1,Ret,Ret,12,5
Peter Revson,Ret,3,5,,7,,3,,3,4,2,18
François Cevert,Ret,9,Ret,NC,2,4,Ret,10,9,Ret,Ret,2
Clay Regazzoni,4,12,3,Ret,Ret,,,2,Ret,Ret,5,8
Mike Hailwood,,Ret,Ret,Ret,4,6,Ret,Ret,4,2,,17
Ronnie Peterson,6,5,Ret,11,9,5,7,3,12,9,DSQ,4
Chris Amon,DNS,15,Ret,6,6,3,4,15,5,Ret,6,15
Jean-Pierre Beltoise,,Ret,Ret,1,Ret,15,11,9,8,8,Ret,Ret
Mario Andretti,Ret,4,Ret,,,,,,,7,,6
Howden Ganley,9,NC,Ret,Ret,8,,,4,6,11,10,Ret
Brian Redman,,,,5,,9,,5,,,,Ret
Graham Hill,Ret,6,10,12,Ret,10,Ret,6,Ret,5,8,11
Carlos Reutemann,7,Ret,,,13,12,8,Ret,Ret,Ret,4,Ret
Andrea de Adamich,Ret,NC,4,7,Ret,14,Ret,13,14,Ret,Ret,Ret
Carlos Pace,,17,6,17,5,Ret,Ret,NC,NC,Ret,9,Ret
Tim Schenken,5,Ret,8,Ret,Ret,17,Ret,14,11,Ret,7,Ret
Arturo Merzario,,,,,,,6,12,,,,
Peter Gethin,Ret,NC,Ret,Ret,Ret,,Ret,,13,6,Ret,Ret
Wilson Fittipaldi,,,7,9,Ret,8,12,7,Ret,Ret,Ret,Ret
Niki Lauda,11,7,Ret,16,12,Ret,9,Ret,10,13,DSQ,19
Patrick Depailler,,,,,,NC,,,,,,7
Helmut Marko,10,14,,8,10,Ret,,,,,,
Mike Beuttler,,,DNQ,13,Ret,19,13,8,Ret,10,NC,13
Henri Pescarolo,8,11,11,Ret,NC,,Ret,Ret,,DNQ,13,14
David Walker,DSQ,10,9,14,14,18,Ret,Ret,Ret,,,Ret
Jody Scheckter,,,,,,,,,,,,9
Rolf Stommelen,,13,Ret,10,11,16,10,Ret,Ret,,,
Reine Wisell,Ret,,Ret,Ret,,Ret,,Ret,,12,Ret,10
Sam Posey,,,,,,,,,,,,12
Nanni Galli,,,,,Ret,13,Ret,,Ret,Ret,,
Skip Barber,,,,,,,,,,,NC,16
John Love,,16,,,,,,,,,,
John Surtees,,,,,,,,,,Ret,,
Jackie Oliver,,,,,,,Ret,,,,,
Alex Soler-Roig,Ret,,Ret,,,,,,,,,
François Migault,,,,,,,,,Ret,,,
Dave Charlton,,Ret,,,,DNQ,Ret,Ret,,,,
Bill Brack,,,,,,,,,,,Ret,
Derek Bell,,,,,,,,Ret,,DNQ,,Ret
