Jackie Stewart,3,2,1,Ret,1,1,5,4,10,1,1,2,4,5,WD
Emerson Fittipaldi,1,1,3,1,3,2,12,Ret,Ret,Ret,6,Ret,2,2,6
Ronnie Peterson,Ret,Ret,11,Ret,Ret,3,2,1,2,11,Ret,1,1,Ret,1
François Cevert,2,10,NC,2,2,4,3,2,5,2,2,Ret,5,Ret,DNS
Peter Revson,8,Ret,2,4,Ret,5,7,,1,4,9,Ret,3,1,5
Denny Hulme,5,3,5,6,7,6,1,8,3,Ret,12,8,15,13,4
Carlos Reutemann,Ret,11,7,Ret,Ret,Ret,4,3,6,Ret,Ret,4,6,8,3
James Hunt,,,,,,9,,6,4,3,,Ret,DNS,7,2
Jacky Ickx,4,5,Ret,12,Ret,Ret,6,5,8,,3,,8,,7
Jean-Pierre Beltoise,Ret,Ret,Ret,5,Ret,Ret,Ret,11,Ret,5,Ret,5,13,4,9
Carlos Pace,Ret,Ret,Ret,Ret,8,Ret,10,13,Ret,7,4,3,Ret,18,Ret
Arturo Merzario,9,4,4,,,Ret,,7,,,,7,Ret,15,16
George Follmer,,,6,3,Ret,,14,Ret,Ret,10,Ret,Ret,10,17,14
Jackie Oliver,,,Ret,Ret,Ret,10,Ret,Ret,Ret,Ret,8,Ret,11,3,15
Andrea de Adamich,,,8,Ret,4,7,,Ret,Ret,,,,,,
Wilson Fittipaldi,6,Ret,Ret,10,Ret,11,Ret,16,Ret,Ret,5,Ret,Ret,11,NC
Niki Lauda,Ret,8,Ret,Ret,5,Ret,13,9,12,Ret,Ret,,Ret,Ret,Ret
Clay Regazzoni,7,6,Ret,9,10,Ret,9,12,7,8,Ret,6,Ret,,8
Howden Ganley,NC,7,10,Ret,Ret,Ret,11,14,9,9,,NC,NC,6,12
Gijs Van Lennep,,,,,,,,,,6,,9,Ret,,
Chris Amon,,,,,6,Ret,,,Ret,Ret,,,,10,WD
Mike Hailwood,Ret,Ret,Ret,Ret,Ret,8,Ret,Ret,Ret,Ret,14,10,7,9,Ret
Mike Beuttler,10,Ret,NC,7,11,Ret,8,,11,Ret,16,Ret,Ret,Ret,10
Jochen Mass,,,,,,,,,Ret,,7,,,,Ret
Henri Pescarolo,,,,8,,,,Ret,,,10,,,,
Graham Hill,,,,Ret,9,Ret,Ret,10,Ret,NC,13,Ret,14,16,13
Nanni Galli,Ret,9,,11,Ret,Ret,,,,,,,,,
David Purley,,,,,,Ret,,,Ret,Ret,15,,9,,
Jody Scheckter,,,9,,,,,Ret,Ret,,,,,Ret,Ret
Rolf Stommelen,,,,,,,,,,,11,Ret,12,12,
Jean-Pierre Jarier,Ret,Ret,NC,,Ret,Ret,Ret,Ret,,,,Ret,,NC,11
Luiz Bueno,,12,,,,,,,,,,,,,
Rikky von Opel,,,,,,,,15,13,DNS,,Ret,Ret,NC,Ret
Tim Schenken,,,,,,,,,,,,,,14,
Eddie Keizan,,,NC,,,,,,,,,,,,
John Watson,,,,,,,,,Ret,,,,,,Ret
Jackie Pretorius,,,Ret,,,,,,,,,,,,
Roger Williamson,,,,,,,,,Ret,Ret,,,,,
Reine Wisell,,,,,,,Ret,Ret,,,,,,,
Dave Charlton,,,Ret,,,,,,,,,,,,
Brian Redman,,,,,,,,,,,,,,,DSQ
Peter Gethin,,,,,,,,,,,,,,Ret,
Graham McRae,,,,,,,,,Ret,,,,,,
