Emerson Fittipaldi,10,1,7,3,1,5,4,3,Ret,2,Ret,Ret,2,1,4
Clay Regazzoni,3,2,Ret,2,4,4,Ret,2,3,4,1,5,Ret,2,11
Jody Scheckter,Ret,13,8,5,3,2,1,5,4,1,2,Ret,3,Ret,Ret
Niki Lauda,2,Ret,16,1,2,Ret,Ret,1,2,5,Ret,Ret,Ret,Ret,Ret
Ronnie Peterson,13,6,Ret,Ret,Ret,1,Ret,8,1,10,4,Ret,1,3,Ret
Carlos Reutemann,7,7,1,Ret,Ret,Ret,Ret,12,Ret,6,3,1,Ret,9,1
Denny Hulme,1,12,9,6,6,Ret,Ret,Ret,6,7,Ret,2,6,6,Ret
James Hunt,Ret,9,Ret,10,Ret,Ret,3,Ret,Ret,Ret,Ret,3,Ret,4,3
Patrick Depailler,6,8,4,8,Ret,9,2,6,8,Ret,Ret,Ret,11,5,6
Jacky Ickx,Ret,3,Ret,Ret,Ret,Ret,Ret,11,5,3,5,Ret,Ret,13,Ret
Mike Hailwood,4,5,3,9,7,Ret,Ret,4,7,Ret,15,,,,
Carlos Pace,Ret,4,11,13,Ret,Ret,Ret,,DNQ,9,12,Ret,5,8,2
Jean-Pierre Beltoise,5,10,2,Ret,5,Ret,Ret,Ret,10,12,Ret,Ret,Ret,NC,DNQ
Jean-Pierre Jarier,Ret,Ret,,Ret,13,3,5,Ret,12,Ret,8,8,Ret,Ret,10
John Watson,12,Ret,Ret,11,11,6,11,7,16,11,Ret,4,7,Ret,5
Hans Joachim Stuck,Ret,Ret,5,4,Ret,Ret,,Ret,DNQ,Ret,7,11,Ret,Ret,DNQ
Arturo Merzario,Ret,Ret,6,Ret,Ret,Ret,,Ret,9,Ret,Ret,Ret,4,Ret,Ret
Graham Hill,Ret,11,12,Ret,8,7,6,Ret,13,13,9,12,8,14,8
Tom Pryce,,,,,Ret,,,Ret,Ret,8,6,Ret,10,Ret,NC
Vittorio Brambilla,,,10,,9,Ret,10,10,11,Ret,13,6,Ret,DNQ,Ret
Guy Edwards,11,Ret,,DNQ,12,8,7,Ret,15,,DNQ,,,,
David Hobbs,,,,,,,,,,,,7,9,,
Jochen Mass,Ret,17,Ret,Ret,Ret,DNS,Ret,Ret,Ret,14,Ret,,,16,7
Brian Redman,,,,7,18,Ret,,,,,,,,,
Mario Andretti,,,,,,,,,,,,,,7,DSQ
Howden Ganley,8,Ret,,,,,,,,DNQ,DNQ,,,,
Tom Belsø,,,Ret,DNQ,,,8,,,DNQ,,,,,
Rikky von Opel,,,,Ret,Ret,DNQ,9,9,DNQ,,,,,,
Henri Pescarolo,9,14,18,12,Ret,Ret,Ret,Ret,Ret,Ret,10,,Ret,,
Chris Amon,,,,Ret,,DNS,,,,,DNQ,,DNQ,NC,9
Dieter Quester,,,,,,,,,,,,9,,,
Tim Schenken,,,,14,10,Ret,,DNQ,,Ret,DNQ,10,Ret,,DSQ
Helmuth Koinigg,,,,,,,,,,,,DNQ,,10,Ret
Rolf Stommelen,,,,,,,,,,,,Ret,Ret,11,12
Derek Bell,,,,,,,,,,DNQ,11,DNQ,DNQ,DNQ,
Mark Donohue,,,,,,,,,,,,,,12,Ret
Ian Scheckter,,,13,,,,,,,,,DNQ,,,
François Migault,Ret,16,15,Ret,16,Ret,,Ret,14,NC,DNQ,,Ret,,
Ian Ashley,,,,,,,,,,,14,NC,,DNQ,DNQ
Gijs Van Lennep,,,,,14,,,DNQ,,,,,,,
Eddie Keizan,,,14,,,,,,,,,,,,
Richard Robarts,Ret,15,17,,,,DNQ,,,,,,,,
Vern Schuppan,,,,,15,Ret,DSQ,DSQ,DNQ,DNQ,Ret,,,,
Jacques Laffite,,,,,,,,,,,Ret,NC,Ret,15,Ret
Teddy Pilette,,,,,17,,,,,,,,,,
Dave Charlton,,,19,,,,,,,,,,,,
Mike Wilds,,,,,,,,,,DNQ,,DNQ,DNQ,DNQ,NC
Reine Wisell,,,,,,,Ret,,,,,,,,
José Dolhem,,,,,,,,,DNQ,,,,DNQ,,WD
Peter Revson,Ret,Ret,,,,,,,,,,,,,
Leo Kinnunen,,,,,DNQ,,Ret,,DNQ,DNQ,,DNQ,DNQ,,
Gérard Larrousse,,,,,Ret,,,,DNQ,,,,,,
Paddy Driver,,,Ret,,,,,,,,,,,,
Bertil Roos,,,,,,,Ret,,,,,,,,
Peter Gethin,,,,,,,,,,Ret,,,,,
Eppie Wietzes,,,,,,,,,,,,,,Ret,
Jean-Pierre Jabouille,,,,,,,,,DNQ,,,DNQ,,,
David Purley,,,,,,,,,,DNQ,,,,,
Carlo Facetti,,,,,,,,,,,,,DNQ,,
Lella Lombardi,,,,,,,,,,DNQ,,,,,
Larry Perkins,,,,,,,,,,,DNQ,,,,
John Nicholson,,,,,,,,,,DNQ,,,,,
