Niki Lauda,6,5,5,Ret,1,1,1,2,1,8,3,6,3,1
Emerson Fittipaldi,1,2,NC,DNS,2,7,8,Ret,4,1,Ret,9,2,2
Carlos Reutemann,3,8,2,3,9,3,2,4,14,Ret,1,14,4,Ret
James Hunt,2,6,Ret,Ret,Ret,Ret,Ret,1,2,4,Ret,2,5,4
Clay Regazzoni,4,4,16,NC,Ret,5,3,3,Ret,13,Ret,7,1,WD
Carlos Pace,Ret,1,4,Ret,3,8,Ret,5,Ret,2,Ret,Ret,Ret,Ret
Jody Scheckter,11,Ret,1,Ret,7,2,7,16,9,3,Ret,8,8,6
Jochen Mass,14,3,6,1,6,Ret,Ret,Ret,3,7,Ret,4,Ret,3
Patrick Depailler,5,Ret,3,Ret,5,4,12,9,6,9,9,11,7,Ret
Tom Pryce,12,Ret,9,Ret,Ret,6,Ret,6,Ret,Ret,4,3,6,NC
Vittorio Brambilla,9,Ret,Ret,5,Ret,Ret,Ret,Ret,Ret,6,Ret,1,Ret,7
Jacques Laffite,Ret,11,NC,,DNQ,Ret,,Ret,11,Ret,2,Ret,Ret,DNS
Ronnie Peterson,Ret,15,10,Ret,4,Ret,9,15,10,Ret,Ret,5,Ret,5
Mario Andretti,Ret,7,17,Ret,Ret,,4,,5,12,10,Ret,Ret,Ret
Mark Donohue,7,Ret,8,Ret,Ret,11,5,8,Ret,5,Ret,NC,,
Jacky Ickx,8,9,12,2,8,Ret,15,Ret,Ret,,,,,
Alan Jones,,,,Ret,Ret,Ret,11,13,16,10,5,,,
Jean-Pierre Jarier,DNS,Ret,Ret,4,Ret,Ret,Ret,Ret,8,14,Ret,Ret,Ret,Ret
Tony Brise,,,,7,,Ret,6,7,7,15,Ret,15,Ret,Ret
Gijs Van Lennep,,,,,,,,10,15,,6,,,
Lella Lombardi,,,Ret,6,DNQ,Ret,Ret,14,18,Ret,7,17,Ret,DNS
Rolf Stommelen,13,14,7,Ret,,,,,,,,16,Ret,
John Watson,DSQ,10,Ret,8,Ret,10,16,Ret,13,11,Ret,10,,9
Harald Ertl,,,,,,,,,,,8,Ret,9,
Hans Joachim Stuck,,,,,,,,,,Ret,Ret,Ret,Ret,8
Bob Evans,,,15,Ret,DNQ,9,13,Ret,17,,,Ret,Ret,
Wilson Fittipaldi,Ret,13,DNQ,Ret,DNQ,12,17,11,Ret,19,Ret,DNQ,,10
Graham Hill,10,12,DNQ,,DNQ,,,,,,,,,
Brett Lunger,,,,,,,,,,,,13,10,Ret
Torsten Palm,,,,,DNQ,,10,,,,,,,
Arturo Merzario,NC,Ret,Ret,Ret,DNQ,Ret,,,,,,,11,
Guy Tunmer,,,11,,,,,,,,,,,
Chris Amon,,,,,,,,,,,,12,12,
Ian Scheckter,,,Ret,,,,Ret,12,,,,,,
Jean-Pierre Jabouille,,,,,,,,,12,,,,,
Jim Crawford,,,,,,,,,,Ret,,,13,
Eddie Keizan,,,13,,,,,,,,,,,
Dave Charlton,,,14,,,,,,,,,,,
Damien Magee,,,,,,,14,,,,,,,
Renzo Zorzi,,,,,,,,,,,,,14,
Brian Henton,,,,,,,,,,16,,NC,,NC
John Nicholson,,,,,,,,,,17,,,,
Dave Morgan,,,,,,,,,,18,,,,
François Migault,,,,NC,,Ret,,,DNS,,,,,
Roelof Wunderink,,,,Ret,DNQ,,,,,DNQ,,NC,DNQ,Ret
Mike Wilds,Ret,Ret,,,,,,,,,,,,
Vern Schuppan,,,,,,,Ret,,,,,,,
Michel Leclère,,,,,,,,,,,,,,Ret
Jo Vonlanthen,,,,,,,,,,,,Ret,,
Hiroshi Fushida,,,,,,,,DNS,,DNQ,,,,
Ian Ashley,,,,,,,,,,,Ret,,,
Tony Trimmer,,,,,,,,,,,DNQ,DNQ,DNQ,
