James Hunt,Ret,2,Ret,1,Ret,Ret,5,1,DSQ,1,4,1,Ret,1,1,3
Niki Lauda,1,1,2,2,1,1,3,Ret,1,Ret,,,4,8,3,Ret
Jody Scheckter,5,4,Ret,Ret,4,2,1,6,2,2,Ret,5,5,4,2,Ret
Patrick Depailler,2,9,3,Ret,Ret,3,2,2,Ret,Ret,Ret,7,6,2,Ret,2
Clay Regazzoni,7,Ret,1,11,2,14,6,Ret,DSQ,9,,2,2,6,7,5
Mario Andretti,Ret,6,Ret,Ret,Ret,,Ret,5,Ret,12,5,3,Ret,3,Ret,1
John Watson,Ret,5,NC,Ret,7,10,Ret,3,3,7,1,Ret,11,10,6,Ret
Jacques Laffite,Ret,Ret,4,12,3,12,4,14,DSQ,Ret,2,Ret,3,Ret,Ret,7
Jochen Mass,6,3,5,Ret,6,5,11,15,Ret,3,7,9,Ret,5,4,Ret
Gunnar Nilsson,,Ret,Ret,3,Ret,Ret,Ret,Ret,Ret,5,3,Ret,13,12,Ret,6
Ronnie Peterson,Ret,Ret,10,Ret,Ret,Ret,7,19,Ret,Ret,6,Ret,1,9,Ret,Ret
Tom Pryce,3,7,Ret,8,10,7,9,8,4,8,Ret,4,8,11,Ret,Ret
Hans Joachim Stuck,4,12,Ret,Ret,Ret,4,Ret,7,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret
Carlos Pace,10,Ret,9,6,Ret,9,8,4,8,4,Ret,Ret,Ret,7,Ret,Ret
Alan Jones,,,NC,9,5,Ret,13,Ret,5,10,Ret,8,12,16,8,4
Carlos Reutemann,12,Ret,Ret,4,Ret,Ret,Ret,11,Ret,Ret,Ret,Ret,9,,,
Emerson Fittipaldi,13,17,6,Ret,DNQ,6,Ret,Ret,6,13,Ret,Ret,15,Ret,9,Ret
Chris Amon,,14,8,5,Ret,13,Ret,,Ret,Ret,,,,DNS,,
Vittorio Brambilla,Ret,8,Ret,Ret,Ret,Ret,10,Ret,Ret,Ret,Ret,6,7,14,Ret,Ret
Rolf Stommelen,,,,,,,,,,6,,12,Ret,,,
Harald Ertl,,15,DNQ,DNQ,Ret,DNQ,Ret,Ret,7,Ret,8,Ret,16,DNS,13,8
Jean-Pierre Jarier,Ret,Ret,7,Ret,9,8,12,12,9,11,Ret,10,19,18,10,10
Jacky Ickx,8,16,DNQ,7,DNQ,DNQ,,10,DNQ,,,Ret,10,13,Ret,
Larry Perkins,,,,13,8,DNQ,Ret,,,,,Ret,Ret,17,Ret,Ret
Henri Pescarolo,,,,,,DNQ,,Ret,Ret,DNQ,9,11,17,19,NC,
Arturo Merzario,,,DNQ,Ret,Ret,DNQ,14,9,Ret,Ret,Ret,Ret,DNS,Ret,Ret,Ret
Renzo Zorzi,9,,,,,,,,,,,,,,,
Noritake Takahara,,,,,,,,,,,,,,,,9
Michel Leclère,,13,DNQ,10,11,11,Ret,13,,,,,,,,
Brett Lunger,,11,DNQ,DNQ,Ret,,15,16,Ret,Ret,10,,14,15,11,
Bob Evans,,10,DNQ,,,,,,Ret,,,,,,,
Alessandro Pesenti-Rossi,,,,,,,,,,14,11,DNQ,18,,,
Ingo Hoffmann,11,,DNQ,DNQ,,,,DNQ,,,,,,,,
Masahiro Hasemi,,,,,,,,,,,,,,,,11
Lella Lombardi,14,,,,,,,,DNQ,DNQ,12,,,,,
Loris Kessel,,,,DNQ,12,,Ret,DNQ,,,NC,,,,,
Alex Ribeiro,,,,,,,,,,,,,,,12,
Warwick Brown,,,,,,,,,,,,,,,14,
Guy Edwards,,,,,DNQ,,,17,Ret,15,,,DNS,20,,
Patrick Nève,,,,,Ret,,,18,,,,,,,,
Hans Binder,,,,,,,,,,,Ret,,,,,Ret
Boy Hayje,,,,,,,,,,,,Ret,,,,
Kazuyoshi Hoshino,,,,,,,,,,,,,,,,Ret
Ian Ashley,Ret,,,,,,,,,,,,,,,
Ian Scheckter,,Ret,,,,,,,,,,,,,,
Conny Andersson,,,,,,,,,,,,Ret,,,,
Tony Trimmer,,,,,,,,,,,,,,,,DNQ
Otto Stuppacher,,,,,,,,,,,,,DNS,DNQ,DNQ,
Emilio Zapico,,,,DNQ,,,,,,,,,,,,
Jac Nelleman,,,,,,,DNQ,,,,,,,,,
Emilio de Villota,,,,DNQ,,,,,,,,,,,,
Damien Magee,,,,,,,,DNQ,,,,,,,,
Divina Galica,,,,,,,,,DNQ,,,,,,,
Mike Wilds,,,,,,,,,DNQ,,,,,,,
