Niki Lauda,Ret,3,1,2,Ret,2,2,Ret,5,2,1,2,1,2,4,,
Jody Scheckter,1,Ret,2,3,3,1,Ret,Ret,Ret,Ret,2,Ret,3,Ret,3,1,10
Mario Andretti,5,Ret,Ret,1,1,5,Ret,6,1,14,Ret,Ret,Ret,1,2,9,Ret
Carlos Reutemann,3,1,8,Ret,2,3,Ret,3,6,15,4,4,6,Ret,6,Ret,2
James Hunt,Ret,2,4,7,Ret,Ret,7,12,3,1,Ret,Ret,Ret,Ret,1,Ret,1
Jochen Mass,Ret,Ret,5,Ret,4,4,Ret,2,9,4,Ret,6,Ret,4,Ret,3,Ret
Alan Jones,,,,Ret,Ret,6,5,17,Ret,7,Ret,1,Ret,3,Ret,4,4
Gunnar Nilsson,DNS,5,12,8,5,Ret,1,19,4,3,Ret,Ret,Ret,Ret,Ret,Ret,Ret
Patrick Depailler,Ret,Ret,3,4,Ret,Ret,8,4,Ret,Ret,Ret,13,Ret,Ret,14,2,3
Jacques Laffite,NC,Ret,Ret,9,7,7,Ret,1,8,6,Ret,Ret,2,8,7,Ret,5
Hans Joachim Stuck,,,Ret,Ret,6,Ret,6,10,Ret,5,3,3,7,Ret,Ret,Ret,7
Emerson Fittipaldi,4,4,10,5,14,Ret,Ret,18,11,Ret,DNQ,11,4,DNQ,13,Ret,
John Watson,Ret,Ret,6,DSQ,Ret,Ret,Ret,5,2,Ret,Ret,8,Ret,Ret,12,Ret,Ret
Ronnie Peterson,Ret,Ret,Ret,Ret,8,Ret,3,Ret,12,Ret,9,5,Ret,6,16,Ret,Ret
Carlos Pace,2,Ret,13,,,,,,,,,,,,,,
Vittorio Brambilla,7,Ret,7,Ret,Ret,8,4,Ret,13,8,5,15,12,Ret,19,6,8
Clay Regazzoni,6,Ret,9,Ret,Ret,DNQ,Ret,7,7,DNQ,,Ret,Ret,5,5,Ret,Ret
Patrick Tambay,,,,,,,,,DNQ,Ret,6,Ret,5,Ret,DNQ,5,Ret
Jean-Pierre Jarier,,,,6,DNQ,11,11,8,Ret,9,Ret,14,Ret,Ret,9,,Ret
Riccardo Patrese,,,,,,9,Ret,,Ret,Ret,10,,13,Ret,,10,6
Renzo Zorzi,Ret,6,Ret,Ret,Ret,,,,,,,,,,,,
Rupert Keegan,,,,,Ret,12,Ret,13,10,Ret,Ret,7,Ret,9,8,Ret,
Patrick Nève,,,,,12,,10,15,DNQ,10,DNQ,9,DNQ,7,18,Ret,
Vern Schuppan,,,,,,,,,,12,7,16,DNQ,,,,
Ingo Hoffmann,Ret,7,,,,,,,,,,,,,,,
Danny Ongais,,,,,,,,,,,,,,,Ret,7,
Alex Ribeiro,Ret,Ret,Ret,Ret,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,8,DNQ,11,DNQ,15,8,12
Hans Binder,Ret,Ret,11,11,9,Ret,,,,,,12,8,DNQ,11,Ret,Ret
Brett Lunger,,,14,Ret,10,,,11,DNQ,13,Ret,10,9,Ret,10,11,
Harald Ertl,,,,,Ret,DNQ,9,16,DNQ,,,,,,,,
Jackie Oliver,,,,,,,,9,,,,,,,,,
Kunimitsu Takahashi,,,,,,,,,,,,,,,,,9
Ian Scheckter,Ret,Ret,,,11,DNQ,Ret,Ret,NC,Ret,Ret,Ret,10,Ret,Ret,Ret,
Brian Henton,,,,10,DNQ,,,,,DNQ,,DNQ,DSQ,DNQ,,,
Jacky Ickx,,,,,,10,,,,,,,,,,,
Gilles Villeneuve,,,,,,,,,,11,,,,,,12,Ret
Kazuyoshi Hoshino,,,,,,,,,,,,,,,,,11
Larry Perkins,,Ret,15,,,,12,DNQ,DNQ,,,,,,,,
David Purley,,,,,DNQ,,13,14,Ret,DNPQ,,,,,,,
Emilio de Villota,,,,,13,,DNQ,DNQ,,DNQ,DNQ,17,,DNQ,,,
Arturo Merzario,,,,,Ret,DNQ,14,,Ret,Ret,DNQ,Ret,DNQ,,,,
Ian Ashley,,,,,,,,,,,,DNQ,DNQ,DNQ,17,DNS,
Tom Pryce,NC,Ret,Ret,,,,,,,,,,,,,,
Bruno Giacomelli,,,,,,,,,,,,,,Ret,,,
Jean-Pierre Jabouille,,,,,,,,,,Ret,,,Ret,Ret,Ret,DNQ,
Boy Hayje,,,Ret,,DNQ,DNQ,NC,DNQ,,,,,DNQ,,,,
Hector Rebaque,,,,,,,DNQ,DNQ,DNQ,,Ret,DNQ,DNQ,,,,
Noritake Takahara,,,,,,,,,,,,,,,,,Ret
Hans Heyer,,,,,,,,,,,DNQ,,,,,,
Lamberto Leoni,,,,,,,,,,,,,,DNQ,,,
Conny Andersson,,,,,DNQ,,DNQ,DNQ,DNQ,,,,,,,,
Teddy Pilette,,,,,,,,,,,DNQ,,DNQ,DNQ,,,
Bernard de Dryver,,,,,,,DNQ,,,,,,,,,,
Mikko Kozarowitzky,,,,,,,,DNQ,,DNPQ,,,,,,,
Andy Sutcliffe,,,,,,,,,,DNPQ,,,,,,,
Guy Edwards,,,,,,,,,,DNPQ,,,,,,,
Loris Kessel,,,,,,,,,,,,,,DNQ,,,
Tony Trimmer,,,,,,,,,,DNPQ,,,,,,,
Michael Bleekemolen,,,,,,,,,,,,,DNQ,,,,
Giorgio Francia,,,,,,,,,,,,,,DNQ,,,
Brian McGuire,,,,,,,,,,DNPQ,,,,,,,
