Mario Andretti,1,4,7,2,11,1,1,Ret,1,Ret,1,Ret,1,6,Ret,10
Ronnie Peterson,5,Ret,1,4,Ret,2,2,3,2,Ret,Ret,1,2,Ret,,
Carlos Reutemann,7,1,Ret,1,8,3,Ret,10,18,1,Ret,DSQ,7,3,1,3
Niki Lauda,2,3,Ret,Ret,2,Ret,Ret,1,Ret,2,Ret,Ret,3,1,Ret,Ret
Patrick Depailler,3,Ret,2,3,1,Ret,Ret,Ret,Ret,4,Ret,2,Ret,11,Ret,5
John Watson,Ret,8,3,Ret,4,Ret,5,Ret,4,3,7,7,4,2,Ret,Ret
Jody Scheckter,10,Ret,Ret,Ret,3,Ret,4,Ret,6,Ret,2,Ret,12,12,3,2
Jacques Laffite,16,9,5,5,Ret,5,3,7,7,10,3,5,8,4,11,Ret
Gilles Villeneuve,8,Ret,Ret,Ret,Ret,4,10,9,12,Ret,8,3,6,7,Ret,1
Emerson Fittipaldi,9,2,Ret,8,9,Ret,Ret,6,Ret,Ret,4,4,5,8,5,Ret
Alan Jones,Ret,11,4,7,Ret,10,8,Ret,5,Ret,Ret,Ret,Ret,13,2,9
Riccardo Patrese,,10,Ret,6,6,Ret,Ret,2,8,Ret,9,Ret,Ret,Ret,,4
James Hunt,4,Ret,Ret,Ret,Ret,Ret,6,8,3,Ret,DSQ,Ret,10,Ret,7,Ret
Patrick Tambay,6,Ret,Ret,12,7,,Ret,4,9,6,Ret,Ret,9,5,6,8
Didier Pironi,14,6,6,Ret,5,6,12,Ret,10,Ret,5,Ret,Ret,Ret,10,7
Clay Regazzoni,15,5,DNQ,10,DNQ,Ret,15,5,Ret,Ret,DNQ,NC,DNQ,NC,14,DNQ
Jean-Pierre Jabouille,,,Ret,Ret,10,NC,13,Ret,Ret,Ret,Ret,Ret,Ret,Ret,4,12
Hans Joachim Stuck,17,Ret,DNQ,DNS,Ret,Ret,Ret,11,11,5,Ret,Ret,Ret,Ret,Ret,Ret
Vittorio Brambilla,18,DNQ,12,Ret,DNQ,13,7,Ret,17,9,Ret,6,DSQ,Ret,,
Derek Daly,,,,DNPQ,DNPQ,DNQ,,,DNQ,Ret,,DSQ,Ret,10,8,6
Hector Rebaque,DNQ,Ret,10,DNPQ,DNPQ,DNPQ,Ret,12,DNQ,Ret,6,Ret,11,DNQ,Ret,DNQ
Brett Lunger,13,Ret,11,DNQ,DNPQ,7,DNQ,DNQ,Ret,8,DNPQ,8,Ret,Ret,13,
Bruno Giacomelli,,,,,,8,,,Ret,7,,,Ret,14,,
Jochen Mass,11,7,Ret,Ret,DNQ,11,9,13,13,NC,Ret,DNQ,DNQ,,,
Jean-Pierre Jarier,12,DNS,8,11,DNQ,,,,,,DNQ,,,,15,Ret
René Arnoux,,,DNQ,,DNPQ,9,,,14,,DNPQ,9,Ret,,9,Ret
Rolf Stommelen,,,9,9,Ret,Ret,14,14,15,DNQ,DSQ,DNPQ,DNPQ,DNPQ,16,DNPQ
Nelson Piquet,,,,,,,,,,,Ret,Ret,Ret,9,,11
Keke Rosberg,,,Ret,DNPQ,DNPQ,DNQ,DNPQ,15,16,Ret,10,NC,Ret,DNPQ,Ret,NC
Rupert Keegan,Ret,Ret,Ret,DNS,Ret,DNQ,11,DNQ,Ret,DNQ,DNQ,DNQ,DNS,,,
Harald Ertl,,,,,,,,,,,11,Ret,DNPQ,DNQ,,
Jacky Ickx,,,,,Ret,12,Ret,DNQ,,,,,,,,
Bobby Rahal,,,,,,,,,,,,,,,12,Ret
Arturo Merzario,Ret,DNQ,Ret,Ret,DNPQ,DNPQ,DNQ,NC,DNQ,Ret,DNQ,DNQ,Ret,Ret,Ret,DNQ
Michael Bleekemolen,,,,,,,,,,,,,DNQ,DNQ,Ret,DNPQ
Danny Ongais,Ret,Ret,,DNPQ,,,,,,,,,DNPQ,,,
Lamberto Leoni,Ret,Ret,DNQ,DNQ,,,,,,,,,,,,
Beppe Gabbiani,,,,,,,,,,,,,,,DNQ,DNQ
Eddie Cheever,DNQ,DNQ,Ret,,,,,,,,,,,,,
Divina Galica,DNQ,DNQ,,,,,,,,,,,,,,
Emilio de Villota,,,,,,,DNQ,,,,,,,,,
Alberto Colombo,,,,,,DNQ,DNQ,,,,,,,DNPQ,,
Carlo Gimax Franchi,,,,,,,,,,,,,,DNQ,,
Geoff Lees,,,,,,,,,,DNQ,,,,,,
Tony Trimmer,,,,,,,,,,DNQ,,,,,,
Hans Binder,,,,,,,,,,,,DNQ,,,,
