Jody Scheckter,Ret,6,2,2,4,1,1,7,5,4,4,2,1,4,Ret
Gilles Villeneuve,Ret,5,1,1,7,7,Ret,2,14,8,2,Ret,2,2,1
Alan Jones,9,Ret,Ret,3,Ret,Ret,Ret,4,Ret,1,1,1,9,1,Ret
Jacques Laffite,1,1,Ret,Ret,Ret,2,Ret,8,Ret,3,3,3,Ret,Ret,Ret
Clay Regazzoni,10,15,9,Ret,Ret,Ret,2,6,1,2,5,Ret,3,3,Ret
Patrick Depailler,4,2,Ret,5,1,Ret,5,,,,,,,,
Carlos Reutemann,2,3,5,Ret,2,4,3,13,8,Ret,Ret,Ret,7,Ret,Ret
René Arnoux,Ret,Ret,Ret,DNS,9,Ret,Ret,3,2,Ret,6,Ret,Ret,Ret,2
John Watson,3,8,Ret,Ret,Ret,6,4,11,4,5,9,Ret,Ret,6,6
Didier Pironi,Ret,4,Ret,DSQ,6,3,Ret,Ret,10,9,7,Ret,10,5,3
Jean-Pierre Jarier,Ret,Ret,3,6,5,11,Ret,5,3,,,Ret,6,Ret,Ret
Mario Andretti,5,Ret,4,4,3,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,10,Ret
Jean-Pierre Jabouille,Ret,10,Ret,DNS,Ret,Ret,NC,1,Ret,Ret,Ret,Ret,14,Ret,Ret
Niki Lauda,Ret,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,WD,4,WD,
Elio de Angelis,7,12,Ret,7,Ret,Ret,DNQ,16,12,11,Ret,Ret,Ret,Ret,4
Nelson Piquet,Ret,Ret,7,8,Ret,Ret,Ret,Ret,Ret,12,Ret,4,Ret,Ret,Ret
Jacky Ickx,,,,,,,,Ret,6,Ret,Ret,5,Ret,Ret,Ret
Jochen Mass,8,7,12,9,8,Ret,6,15,Ret,6,Ret,6,Ret,DNQ,DNQ
Hans Joachim Stuck,DNS,Ret,Ret,DSQ,14,8,Ret,DNS,DNQ,Ret,Ret,Ret,11,Ret,5
Riccardo Patrese,DNS,9,11,Ret,10,5,Ret,14,Ret,Ret,Ret,Ret,13,Ret,Ret
Emerson Fittipaldi,6,11,13,Ret,11,9,Ret,Ret,Ret,Ret,Ret,Ret,8,8,7
Hector Rebaque,Ret,DNQ,Ret,Ret,Ret,Ret,,12,9,Ret,DNQ,7,DNQ,Ret,DNQ
Patrick Tambay,Ret,Ret,10,Ret,13,DNQ,DNQ,10,7,Ret,10,Ret,Ret,Ret,Ret
Ricardo Zunino,,,,,,,,,,,,,,7,Ret
Geoff Lees,,,,,,,,,,7,,,,,
Derek Daly,11,13,DNQ,Ret,DNQ,DNQ,DNQ,,,,8,,,Ret,Ret
James Hunt,Ret,Ret,8,Ret,Ret,Ret,Ret,,,,,,,,
Jan Lammers,Ret,14,Ret,Ret,12,10,DNQ,18,11,10,Ret,Ret,DNQ,9,DNQ
Keke Rosberg,,,,,,,,9,Ret,Ret,Ret,Ret,Ret,DNQ,Ret
Vittorio Brambilla,,,,,,,,,,,,,12,Ret,DNQ
Patrick Gaillard,,,,,,,,DNQ,13,DNQ,Ret,DNQ,,,
Bruno Giacomelli,,,,,,Ret,,17,,,,,Ret,,Ret
Marc Surer,,,,,,,,,,,,,DNQ,DNQ,Ret
Arturo Merzario,Ret,DNQ,DNQ,Ret,DNQ,DNQ,,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Gianfranco Brancatelli,,,,,DNQ,DNQ,DNPQ,,,,,,,,
Alex Ribeiro,,,,,,,,,,,,,,DNQ,DNQ
