Keke Rosberg,5,DSQ,2,,2,Ret,4,Ret,3,Ret,5,3,2,1,8,5
Didier Pironi,18,6,Ret,1,DNS,2,3,9,1,2,3,DNS,,,,
John Watson,6,2,6,,1,Ret,1,3,9,Ret,Ret,Ret,9,13,4,2
Alain Prost,1,1,Ret,Ret,Ret,7,NC,Ret,Ret,6,2,Ret,8,2,Ret,4
Niki Lauda,4,Ret,1,,DSQ,Ret,Ret,Ret,4,1,8,,5,3,Ret,Ret
René Arnoux,3,Ret,Ret,Ret,Ret,Ret,10,Ret,Ret,Ret,1,2,Ret,16,1,Ret
Patrick Tambay,,,,,,,,,8,3,4,1,4,Ret,2,DNS
Michele Alboreto,7,4,4,3,Ret,10,Ret,Ret,7,Ret,6,4,Ret,7,5,1
Elio de Angelis,8,Ret,5,,4,5,Ret,4,Ret,4,Ret,Ret,1,6,Ret,Ret
Riccardo Patrese,Ret,Ret,3,,Ret,1,Ret,2,15,Ret,Ret,Ret,Ret,5,Ret,Ret
Nelson Piquet,Ret,DSQ,Ret,,5,Ret,DNQ,1,2,Ret,Ret,Ret,Ret,4,Ret,Ret
Eddie Cheever,Ret,Ret,Ret,,3,Ret,2,10,DNQ,Ret,16,Ret,Ret,Ret,6,3
Derek Daly,14,Ret,Ret,,Ret,6,5,7,5,5,7,Ret,Ret,9,Ret,6
Nigel Mansell,Ret,3,7,,Ret,4,Ret,Ret,,Ret,,9,Ret,8,7,Ret
Gilles Villeneuve,Ret,Ret,DSQ,2,DNS,,,,,,,,,,,
Carlos Reutemann,2,Ret,,,,,,,,,,,,,,
Andrea de Cesaris,13,Ret,Ret,Ret,Ret,3,Ret,6,Ret,Ret,Ret,Ret,Ret,10,10,9
Jacques Laffite,Ret,Ret,Ret,,9,Ret,6,Ret,Ret,Ret,14,Ret,3,Ret,Ret,Ret
Mario Andretti,,,Ret,,,,,,,,,,,,3,Ret
Jean-Pierre Jarier,Ret,9,Ret,4,Ret,DNQ,Ret,Ret,14,Ret,Ret,Ret,DNQ,Ret,Ret,DNS
Marc Surer,,,,,7,9,8,5,10,Ret,13,6,Ret,15,Ret,7
Bruno Giacomelli,11,Ret,Ret,Ret,Ret,Ret,Ret,Ret,11,7,9,5,Ret,12,Ret,10
Eliseo Salazar,9,Ret,Ret,5,Ret,Ret,Ret,Ret,13,DNQ,Ret,Ret,DNQ,14,9,DNQ
Manfred Winkelhock,10,5,Ret,DSQ,Ret,Ret,Ret,DNQ,12,DNQ,11,Ret,Ret,Ret,DNQ,NC
Mauro Baldi,DNQ,10,DNQ,,Ret,DNQ,Ret,8,6,9,Ret,Ret,6,DNQ,12,11
Chico Serra,17,Ret,DNQ,,6,DNPQ,11,DNQ,Ret,Ret,,11,7,DNQ,11,DNQ
Brian Henton,DNQ,DNQ,Ret,Ret,Ret,8,9,NC,Ret,8,10,7,Ret,11,Ret,8
Jochen Mass,12,8,8,,Ret,DNQ,7,11,Ret,10,Ret,,,,,
Slim Borgudd,16,7,10,,,,,,,,,,,,,
Raul Boesel,15,Ret,9,,8,DNPQ,Ret,Ret,Ret,DNQ,DNQ,Ret,DNQ,Ret,DNQ,13
Roberto Guerrero,DNQ,DNQ,Ret,,DNQ,DNQ,Ret,Ret,DNQ,Ret,DNQ,8,Ret,Ret,NC,DNS
Derek Warwick,Ret,DNQ,DNQ,Ret,Ret,DNQ,,,Ret,Ret,15,10,Ret,Ret,Ret,Ret
Rupert Keegan,,,,,,,,,,,,DNQ,Ret,Ret,DNQ,12
Geoff Lees,,,,,,,,Ret,,,12,,,,,
Teo Fabi,DNQ,DNQ,DNQ,NC,Ret,DNPQ,,,DNQ,Ret,Ret,DNQ,Ret,Ret,Ret,DNQ
Riccardo Paletti,DNQ,DNQ,DNQ,Ret,DNPQ,DNPQ,Ret,Ret,,,,,,,,
Tommy Byrne,,,,,,,,,,,,DNQ,Ret,DNQ,DNQ,Ret
Jan Lammers,,,,,DNQ,DNQ,DNQ,,Ret,DNQ,DNQ,,,,,
Emilio de Villota,,,,,DNPQ,DNPQ,DNQ,DNQ,DNPQ,,,,,,,
Roberto Moreno,,,,,,,,,DNQ,,,,,,,
