Ayrton Senna,1,3,Ret,1,1,20,3,3,1,2,1,1,2,Ret,Ret,Ret
Alain Prost,Ret,1,4,Ret,5,1,1,1,4,Ret,2,2,3,1,Ret,3
Nelson Piquet,4,6,5,DSQ,2,6,4,5,Ret,3,5,7,5,Ret,1,1
Gerhard Berger,Ret,2,2,3,4,3,5,14,3,16,3,3,4,Ret,Ret,4
Nigel Mansell,Ret,4,Ret,Ret,3,2,18,Ret,Ret,17,Ret,4,1,2,Ret,2
Thierry Boutsen,3,5,Ret,4,Ret,5,Ret,2,6,1,Ret,Ret,Ret,4,5,5
Riccardo Patrese,9,13,1,Ret,Ret,9,6,Ret,5,4,Ret,5,7,5,4,6
Alessandro Nannini,11,10,3,Ret,Ret,4,16,Ret,2,Ret,4,8,6,3,,
Jean Alesi,2,7,6,2,Ret,7,Ret,8,11,Ret,8,Ret,8,Ret,DNS,8
Ivan Capelli,Ret,DNQ,Ret,Ret,10,DNQ,2,Ret,7,Ret,7,Ret,Ret,Ret,Ret,Ret
Roberto Moreno,13,DNPQ,Ret,DNQ,DNQ,DSQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,2,7
Aguri Suzuki,Ret,Ret,Ret,Ret,12,Ret,7,6,Ret,Ret,Ret,Ret,14,6,3,Ret
Éric Bernard,8,Ret,13,6,9,Ret,8,4,Ret,6,9,Ret,Ret,Ret,Ret,Ret
Derek Warwick,Ret,Ret,7,Ret,6,10,11,Ret,8,5,11,Ret,Ret,Ret,Ret,Ret
Satoru Nakajima,6,8,Ret,Ret,11,Ret,Ret,Ret,Ret,Ret,Ret,6,DNS,Ret,6,Ret
Alex Caffi,,Ret,DNQ,5,8,DNQ,Ret,7,9,9,10,9,13,,9,DNQ
Stefano Modena,5,Ret,Ret,Ret,7,11,13,9,Ret,Ret,17,Ret,Ret,Ret,Ret,12
Maurício Gugelmin,14,DNQ,Ret,DNQ,DNQ,DNQ,Ret,DNS,Ret,8,6,Ret,12,8,Ret,Ret
Nicola Larini,Ret,11,10,Ret,Ret,16,14,10,10,11,14,11,10,7,7,10
Martin Donnelly,Ret,Ret,8,Ret,Ret,8,12,Ret,Ret,7,12,Ret,Ret,DNS,,
Pierluigi Martini,7,9,DNS,Ret,Ret,12,Ret,Ret,Ret,Ret,15,Ret,11,Ret,8,9
Gregor Foitek,Ret,Ret,Ret,7,Ret,15,DNQ,DNQ,Ret,DNQ,,,,,,
Philippe Alliot,DSQ,12,9,Ret,Ret,18,9,13,DSQ,14,DNQ,13,Ret,Ret,10,11
Michele Alboreto,10,Ret,DNQ,DNQ,Ret,17,10,Ret,Ret,12,13,12,9,10,Ret,DNQ
Yannick Dalmas,DNPQ,Ret,DNPQ,DNPQ,DNPQ,DNPQ,17,DNPQ,DNQ,DNQ,DNQ,Ret,Ret,9,DNQ,DNQ
Emanuele Pirro,,,Ret,Ret,Ret,Ret,Ret,11,Ret,10,Ret,Ret,15,Ret,Ret,Ret
Andrea de Cesaris,Ret,Ret,Ret,Ret,Ret,13,DSQ,Ret,DNQ,Ret,Ret,10,Ret,Ret,Ret,Ret
Paolo Barilla,Ret,Ret,11,Ret,DNQ,14,DNQ,12,DNQ,15,Ret,DNQ,DNQ,DNQ,,
Jyrki Järvilehto,DNQ,DNQ,12,Ret,Ret,Ret,DNQ,DNQ,NC,DNQ,,,,,,
Bernd Schneider,12,,,,,,,,,,,,,DNQ,,
Olivier Grouillard,Ret,Ret,Ret,DNQ,13,19,DNPQ,DNQ,DNQ,DNPQ,16,Ret,DNQ,Ret,DNQ,13
Gabriele Tarquini,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNQ,Ret,DNPQ,13,DNQ,DNQ,DNQ,Ret,DNQ,Ret
Gianni Morbidelli,DNQ,14,,,,,,,,,,,,,Ret,Ret
David Brabham,,,DNQ,Ret,DNQ,Ret,15,DNQ,Ret,DNQ,Ret,DNQ,Ret,DNQ,Ret,Ret
Johnny Herbert,,,,,,,,,,,,,,,Ret,Ret
Stefan Johansson,DNQ,DNQ,,,,,,,,,,,,,,
Bertrand Gachot,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Claudio Langes,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,,
Bruno Giacomelli,,,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,,
Gary Brabham,DNPQ,DNPQ,,,,,,,,,,,,,,
