Nigel Mansell,1,1,1,1,1,2,Ret,1,1,1,2,2,Ret,1,Ret,Ret
Riccardo Patrese,2,2,2,Ret,2,3,Ret,2,2,8,Ret,3,5,Ret,1,Ret
Michael Schumacher,4,3,3,2,Ret,4,2,Ret,4,3,Ret,1,3,7,Ret,2
Ayrton Senna,3,Ret,Ret,9,3,1,Ret,Ret,Ret,2,1,5,1,3,Ret,Ret
Gerhard Berger,5,4,Ret,4,Ret,Ret,1,Ret,5,Ret,3,Ret,4,2,2,1
Martin Brundle,Ret,Ret,Ret,Ret,4,5,Ret,3,3,4,5,4,2,4,3,3
Jean Alesi,Ret,Ret,4,3,Ret,Ret,3,Ret,Ret,5,Ret,Ret,Ret,Ret,5,4
Mika Häkkinen,9,6,10,Ret,DNQ,Ret,Ret,4,6,Ret,4,6,Ret,5,Ret,7
Andrea de Cesaris,Ret,5,Ret,Ret,14,Ret,5,Ret,Ret,Ret,8,8,6,9,4,Ret
Michele Alboreto,10,13,6,5,5,7,7,7,7,9,7,Ret,7,6,15,Ret
Érik Comas,7,9,Ret,Ret,9,10,6,5,8,6,Ret,DNQ,Ret,Ret,Ret,Ret
Karl Wendlinger,Ret,Ret,Ret,8,12,Ret,4,Ret,Ret,16,Ret,11,10,Ret,,
Ivan Capelli,Ret,Ret,5,10,Ret,Ret,Ret,Ret,9,Ret,6,Ret,Ret,Ret,,
Thierry Boutsen,Ret,10,Ret,Ret,Ret,12,10,Ret,10,7,Ret,Ret,Ret,8,Ret,5
Johnny Herbert,6,7,Ret,Ret,Ret,Ret,Ret,6,Ret,Ret,Ret,13,Ret,Ret,Ret,13
Pierluigi Martini,Ret,Ret,Ret,6,6,Ret,8,10,15,11,Ret,Ret,8,Ret,10,Ret
Stefano Modena,DNQ,Ret,Ret,DNQ,Ret,Ret,Ret,Ret,Ret,DNQ,Ret,15,DNQ,13,7,6
Christian Fittipaldi,Ret,Ret,Ret,11,Ret,8,13,DNQ,,,,DNQ,DNQ,12,6,9
Bertrand Gachot,Ret,11,Ret,Ret,Ret,6,DSQ,Ret,Ret,14,Ret,18,Ret,Ret,Ret,Ret
Aguri Suzuki,8,DNQ,Ret,7,10,11,DNQ,Ret,12,Ret,Ret,9,Ret,10,8,8
Jyrki Järvilehto,Ret,8,8,Ret,11,9,9,9,13,10,DNQ,7,11,Ret,9,Ret
Gianni Morbidelli,Ret,Ret,7,Ret,Ret,Ret,11,8,17,12,DNQ,16,Ret,14,14,10
Maurício Gugelmin,11,Ret,Ret,Ret,7,Ret,Ret,Ret,Ret,15,10,14,Ret,Ret,Ret,Ret
Olivier Grouillard,Ret,Ret,Ret,Ret,8,Ret,12,11,11,Ret,Ret,Ret,Ret,Ret,Ret,Ret
Ukyo Katayama,12,12,9,DNQ,Ret,DNPQ,Ret,Ret,Ret,Ret,Ret,17,9,Ret,11,Ret
Paul Belmondo,DNQ,DNQ,DNQ,12,13,DNQ,14,DNQ,DNQ,13,9,,,,,
Eric van de Poele,13,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,WD,DNQ,Ret,10,Ret,,,
Emanuele Naspetti,,,,,,,,,,,,12,Ret,11,13,Ret
Nicola Larini,,,,,,,,,,,,,,,12,11
Damon Hill,,,,DNQ,DNQ,DNQ,DNQ,DNQ,16,DNQ,11,,,,,
Jan Lammers,,,,,,,,,,,,,,,Ret,12
Gabriele Tarquini,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,14,Ret,Ret,Ret,Ret,,,
Andrea Chiesa,DNQ,Ret,DNQ,Ret,DNQ,DNQ,DNQ,Ret,DNQ,DNQ,,,,,,
Roberto Moreno,,,DNPQ,DNPQ,DNPQ,Ret,DNPQ,,DNPQ,DNPQ,DNQ,DNQ,,,,
Alessandro Zanardi,,,,,,,,,DNQ,Ret,DNQ,,,,,
Perry McCarthy,,,,DNPQ,DNPQ,DNPQ,,,DNPQ,EXC,DNPQ,DNQ,,,,
Giovanna Amati,DNQ,DNQ,DNQ,,,,,,,,,,,,,
Alex Caffi,EXC,,,,,,,,,,,,,,,
Enrico Bertaggia,EXC,,,,,,,,,,,,,,,
