Alain Prost,1,Ret,3,1,1,4,1,1,1,1,12,3,12,2,2,2
Ayrton Senna,2,1,1,Ret,2,1,18,4,5,4,Ret,4,Ret,Ret,1,1
Damon Hill,Ret,2,2,Ret,Ret,2,3,2,Ret,15,1,1,1,3,4,3
Michael Schumacher,Ret,3,Ret,2,3,Ret,2,3,2,2,Ret,2,Ret,1,Ret,Ret
Riccardo Patrese,Ret,Ret,5,Ret,4,Ret,Ret,10,3,5,2,6,5,16,Ret,8
Jean Alesi,Ret,8,Ret,Ret,Ret,3,Ret,Ret,9,7,Ret,Ret,2,4,Ret,4
Martin Brundle,Ret,Ret,Ret,3,Ret,6,5,5,14,8,5,7,Ret,6,9,6
Gerhard Berger,6,Ret,Ret,Ret,6,14,4,14,Ret,6,3,10,Ret,Ret,Ret,5
Johnny Herbert,Ret,4,4,8,Ret,Ret,10,Ret,4,10,Ret,5,Ret,Ret,11,Ret
Mark Blundell,3,5,Ret,Ret,7,Ret,Ret,Ret,7,3,7,11,Ret,Ret,7,9
Michael Andretti,Ret,Ret,Ret,Ret,5,8,14,6,Ret,Ret,Ret,8,3,,,
Karl Wendlinger,Ret,Ret,Ret,Ret,Ret,13,6,Ret,Ret,9,6,Ret,4,5,Ret,15
Jyrki Järvilehto,5,Ret,Ret,4,Ret,Ret,7,Ret,8,Ret,Ret,9,Ret,7,8,Ret
Christian Fittipaldi,4,Ret,7,Ret,8,5,9,8,12,11,Ret,Ret,8,9,,
Mika Häkkinen,,,,,,,,,,,,,,Ret,3,Ret
Derek Warwick,7,9,Ret,Ret,13,Ret,16,13,6,17,4,Ret,Ret,15,14,10
Philippe Alliot,Ret,7,Ret,5,Ret,12,Ret,9,11,12,8,12,9,10,,
Rubens Barrichello,Ret,Ret,10,Ret,12,9,Ret,7,10,Ret,Ret,Ret,Ret,13,5,11
Fabrizio Barbazza,Ret,Ret,6,6,Ret,11,Ret,Ret,,,,,,,,
Alessandro Zanardi,Ret,6,8,Ret,14,7,11,Ret,Ret,Ret,Ret,DNS,,,,
Érik Comas,Ret,10,9,Ret,9,Ret,8,16,Ret,Ret,Ret,Ret,6,11,Ret,12
Eddie Irvine,,,,,,,,,,,,,,,6,Ret
Pierluigi Martini,,,,,,,,,Ret,14,Ret,Ret,7,8,10,Ret
Aguri Suzuki,Ret,Ret,Ret,9,10,Ret,13,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret,7
Luca Badoer,Ret,12,DNQ,7,Ret,DNQ,15,Ret,Ret,Ret,Ret,13,10,14,,
Thierry Boutsen,,,Ret,Ret,11,Ret,12,11,Ret,13,9,Ret,,,,
Andrea de Cesaris,Ret,Ret,Ret,Ret,Ret,10,Ret,15,NC,Ret,11,Ret,13,12,Ret,13
Ukyo Katayama,Ret,Ret,Ret,Ret,Ret,Ret,17,Ret,13,Ret,10,15,14,Ret,Ret,Ret
Michele Alboreto,Ret,11,11,DNQ,DNQ,Ret,DNQ,DNQ,DNQ,16,Ret,14,Ret,Ret,,
Pedro Lamy,,,,,,,,,,,,,11,Ret,13,Ret
Toshio Suzuki,,,,,,,,,,,,,,,12,14
Jean-Marc Gounon,,,,,,,,,,,,,,,Ret,Ret
Ivan Capelli,Ret,DNQ,,,,,,,,,,,,,,
Marco Apicella,,,,,,,,,,,,,Ret,,,
Emanuele Naspetti,,,,,,,,,,,,,,Ret,,
