Michael Schumacher,1,1,1,1,2,1,1,DSQ,Ret,1,DSQ,,,1,2,Ret
Damon Hill,2,Ret,6,Ret,1,2,2,1,8,2,1,1,1,2,1,Ret
Gerhard Berger,Ret,2,Ret,3,Ret,4,3,Ret,1,12,Ret,2,Ret,5,Ret,2
Mika Häkkinen,Ret,Ret,3,Ret,Ret,Ret,Ret,3,Ret,,2,3,3,3,7,12
Jean Alesi,3,,,5,4,3,Ret,2,Ret,Ret,Ret,Ret,Ret,10,3,6
Rubens Barrichello,4,3,DNQ,Ret,Ret,7,Ret,4,Ret,Ret,Ret,4,4,12,Ret,4
Martin Brundle,Ret,Ret,8,2,11,Ret,Ret,Ret,Ret,4,Ret,5,6,Ret,Ret,3
David Coulthard,,,,,Ret,5,,5,Ret,Ret,4,6,2,,,
Nigel Mansell,,,,,,,Ret,,,,,,,Ret,4,1
Jos Verstappen,Ret,Ret,,,,,Ret,8,Ret,3,3,Ret,5,Ret,,
Olivier Panis,11,9,11,9,7,12,Ret,12,2,6,7,10,DSQ,9,11,5
Mark Blundell,Ret,Ret,9,Ret,3,10,10,Ret,Ret,5,5,Ret,Ret,13,Ret,Ret
Heinz-Harald Frentzen,Ret,5,7,WD,Ret,Ret,4,7,Ret,Ret,Ret,Ret,Ret,6,6,7
Nicola Larini,,Ret,2,,,,,,,,,,,,,
Christian Fittipaldi,Ret,4,13,Ret,Ret,DSQ,8,9,4,14,Ret,Ret,8,17,8,8
Eddie Irvine,Ret,,,,6,Ret,Ret,Ret,Ret,Ret,13,Ret,7,4,5,Ret
Ukyo Katayama,5,Ret,5,Ret,Ret,Ret,Ret,6,Ret,Ret,Ret,Ret,Ret,7,Ret,Ret
Éric Bernard,Ret,10,12,Ret,8,13,Ret,13,3,10,10,7,10,18,,
Karl Wendlinger,6,Ret,4,DNS,,,,,,,,,,,,
Andrea de Cesaris,,,Ret,4,,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,Ret,,
Pierluigi Martini,8,Ret,Ret,Ret,5,9,5,10,Ret,Ret,8,Ret,12,15,Ret,9
Gianni Morbidelli,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,6,Ret,9,11,Ret,Ret
Érik Comas,9,6,Ret,10,Ret,Ret,11,Ret,6,8,Ret,8,Ret,Ret,9,
Jyrki Järvilehto,,,Ret,7,Ret,6,,,,,,9,Ret,,Ret,10
Michele Alboreto,Ret,Ret,Ret,6,Ret,11,Ret,Ret,Ret,7,9,Ret,13,14,Ret,Ret
Johnny Herbert,7,7,10,Ret,Ret,8,7,11,Ret,Ret,12,Ret,11,8,Ret,Ret
Olivier Beretta,Ret,Ret,Ret,8,Ret,Ret,Ret,14,7,9,,,,,,
Pedro Lamy,10,8,Ret,11,,,,,,,,,,,,
Jean-Marc Gounon,,,,,,,9,16,Ret,Ret,11,Ret,15,,,
Alessandro Zanardi,,,,,9,15,Ret,Ret,Ret,13,,Ret,,16,13,Ret
David Brabham,12,Ret,Ret,Ret,10,14,Ret,15,Ret,11,Ret,Ret,Ret,Ret,12,Ret
Mika Salo,,,,,,,,,,,,,,,10,Ret
Franck Lagorce,,,,,,,,,,,,,,,Ret,11
Roland Ratzenberger,DNQ,11,DNS,,,,,,,,,,,,,
Yannick Dalmas,,,,,,,,,,,,Ret,14,,,
Philippe Adams,,,,,,,,,,,Ret,,16,,,
Domenico Schiattarella,,,,,,,,,,,,,,19,,Ret
Ayrton Senna,Ret,Ret,Ret,,,,,,,,,,,,,
Paul Belmondo,DNQ,DNQ,DNQ,Ret,Ret,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Bertrand Gachot,Ret,DNQ,Ret,Ret,Ret,Ret,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Jean-Denis Délétraz,,,,,,,,,,,,,,,,Ret
Aguri Suzuki,,Ret,,,,,,,,,,,,,,
Philippe Alliot,,,,,,,,,,Ret,Ret,,,,,
Hideki Noda,,,,,,,,,,,,,,Ret,Ret,Ret
Taki Inoue,,,,,,,,,,,,,,,Ret,
Andrea Montermini,,,,,DNS,,,,,,,,,,,
