Michael Schumacher,1,3,Ret,1,1,5,1,Ret,1,11,1,Ret,2,1,1,1,Ret
Damon Hill,Ret,1,1,4,2,Ret,2,Ret,Ret,1,2,Ret,3,Ret,3,Ret,1
David Coulthard,2,Ret,4,Ret,Ret,Ret,3,3,2,2,Ret,Ret,1,3,2,Ret,Ret
Johnny Herbert,Ret,4,7,2,4,Ret,Ret,1,4,4,7,1,7,5,6,3,Ret
Jean Alesi,5,2,2,Ret,Ret,1,5,2,Ret,Ret,Ret,Ret,5,2,5,Ret,Ret
Gerhard Berger,3,6,3,3,3,11,12,Ret,3,3,Ret,Ret,4,Ret,4,Ret,Ret
Mika Häkkinen,4,Ret,5,Ret,Ret,Ret,7,Ret,Ret,Ret,Ret,2,Ret,8,,2,DNS
Olivier Panis,Ret,7,9,6,Ret,4,8,4,Ret,6,9,Ret,Ret,Ret,8,5,2
Heinz-Harald Frentzen,Ret,5,6,8,6,Ret,10,6,Ret,5,4,3,6,Ret,7,8,Ret
Mark Blundell,6,Ret,,,5,Ret,11,5,Ret,Ret,5,4,9,Ret,9,7,4
Rubens Barrichello,Ret,Ret,Ret,7,Ret,2,6,11,Ret,7,6,Ret,11,4,Ret,Ret,Ret
Eddie Irvine,Ret,Ret,8,5,Ret,3,9,Ret,9,Ret,Ret,Ret,10,6,11,4,Ret
Martin Brundle,,,,9,Ret,10,4,Ret,,Ret,3,Ret,8,7,,,Ret
Gianni Morbidelli,Ret,Ret,13,11,9,6,14,,,,,,,,Ret,Ret,3
Mika Salo,7,Ret,Ret,10,Ret,7,15,8,Ret,Ret,8,5,13,10,12,6,5
Jean-Christophe Boullion,,,,,8,Ret,Ret,9,5,10,11,6,12,Ret,Ret,,
Aguri Suzuki,8,Ret,11,,,,,,6,,,,,,Ret,DNS,
Pedro Lamy,,,,,,,,,,9,10,Ret,Ret,9,13,11,6
Pierluigi Martini,Ret,Ret,12,14,7,Ret,Ret,7,Ret,,,,,,,,
Ukyo Katayama,Ret,8,Ret,Ret,Ret,Ret,Ret,Ret,7,Ret,Ret,10,Ret,,14,Ret,Ret
Pedro Diniz,10,NC,NC,Ret,10,Ret,Ret,Ret,Ret,Ret,13,9,16,13,17,Ret,7
Massimiliano Papis,,,,,,,,Ret,Ret,Ret,Ret,7,Ret,12,,,
Luca Badoer,Ret,DNS,14,Ret,Ret,8,13,10,Ret,8,Ret,Ret,14,11,15,9,DNS
Taki Inoue,Ret,Ret,Ret,Ret,Ret,9,Ret,Ret,Ret,Ret,12,8,15,Ret,Ret,12,Ret
Andrea Montermini,9,Ret,Ret,DNS,DSQ,Ret,NC,Ret,8,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret
Bertrand Gachot,Ret,Ret,Ret,Ret,Ret,Ret,Ret,12,,,,,,,Ret,Ret,8
Domenico Schiattarella,Ret,9,Ret,15,DNS,,,,,,,,,,,,
Karl Wendlinger,Ret,Ret,Ret,13,,,,,,,,,,,,10,Ret
Nigel Mansell,,,10,Ret,,,,,,,,,,,,,
Jan Magnussen,,,,,,,,,,,,,,,10,,
Jos Verstappen,Ret,Ret,Ret,12,DNS,,,,,,,,,,,,
Roberto Moreno,Ret,NC,NC,Ret,Ret,Ret,16,Ret,Ret,Ret,14,Ret,17,Ret,16,Ret,Ret
Gabriele Tarquini,,,,,,,,,,,,,,14,,,
Jean-Denis Délétraz,,,,,,,,,,,,,Ret,15,,,
Giovanni Lavaggi,,,,,,,,,Ret,Ret,Ret,Ret,,,,,
