Damon Hill,1,1,1,4,1,Ret,Ret,1,1,Ret,1,2,5,Ret,2,1
Jacques Villeneuve,2,Ret,2,1,11,Ret,3,2,2,1,3,1,2,7,1,Ret
Michael Schumacher,Ret,3,Ret,2,2,Ret,1,Ret,NC,Ret,4,9,1,1,3,2
Jean Alesi,Ret,2,3,Ret,6,Ret,2,3,3,Ret,2,3,4,2,4,Ret
Mika Häkkinen,5,4,Ret,8,8,6,5,5,5,3,Ret,4,3,3,Ret,3
Gerhard Berger,4,Ret,Ret,9,3,Ret,Ret,Ret,4,2,13,Ret,6,Ret,6,4
David Coulthard,Ret,Ret,7,3,Ret,2,Ret,4,6,5,5,Ret,Ret,Ret,13,8
Rubens Barrichello,Ret,Ret,4,5,5,Ret,Ret,Ret,9,4,6,6,Ret,5,Ret,9
Olivier Panis,7,6,8,Ret,Ret,1,Ret,Ret,7,Ret,7,5,Ret,Ret,10,7
Eddie Irvine,3,7,5,Ret,4,7,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret
Martin Brundle,Ret,12,Ret,6,Ret,Ret,Ret,6,8,6,10,Ret,Ret,4,9,5
Heinz-Harald Frentzen,8,Ret,Ret,Ret,Ret,4,4,Ret,Ret,8,8,Ret,Ret,Ret,7,6
Mika Salo,6,5,Ret,DSQ,Ret,5,DSQ,Ret,10,7,9,Ret,7,Ret,11,Ret
Johnny Herbert,Ret,Ret,9,7,Ret,3,Ret,7,DSQ,9,Ret,Ret,Ret,9,8,10
Pedro Diniz,10,8,Ret,10,7,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,6,Ret,Ret
Jos Verstappen,Ret,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,10,Ret,Ret,Ret,8,Ret,11
Ukyo Katayama,11,9,Ret,DSQ,Ret,Ret,Ret,Ret,Ret,Ret,Ret,7,8,10,12,Ret
Ricardo Rosset,9,Ret,Ret,11,Ret,Ret,Ret,Ret,11,Ret,11,8,9,Ret,14,13
Giancarlo Fisichella,Ret,,,13,Ret,Ret,Ret,8,Ret,11,,,,,,
Pedro Lamy,Ret,10,Ret,12,9,Ret,Ret,Ret,12,Ret,12,Ret,10,Ret,16,12
Luca Badoer,DNQ,11,Ret,DNQ,10,Ret,DNQ,Ret,Ret,DNQ,,,,,,
Giovanni Lavaggi,,,,,,,,,,,DNQ,10,DNQ,Ret,15,DNQ
Andrea Montermini,DNQ,Ret,10,DNQ,DNQ,DNS,DNQ,Ret,Ret,DNQ,,,,,,
Tarso Marques,,Ret,Ret,,,,,,,,,,,,,
