Jacques Villeneuve,Ret,1,1,Ret,Ret,1,Ret,4,1,Ret,1,5,5,1,1,DSQ,3
Heinz-Harald Frentzen,8,9,Ret,1,Ret,8,4,2,Ret,Ret,Ret,3,3,3,3,2,6
David Coulthard,1,10,Ret,Ret,Ret,6,7,7,4,Ret,Ret,Ret,1,2,Ret,10,2
Jean Alesi,Ret,6,7,5,Ret,3,2,5,2,6,11,8,2,Ret,2,5,13
Gerhard Berger,4,2,6,Ret,9,10,,,,1,8,6,7,10,4,8,4
Mika Häkkinen,3,4,5,6,Ret,7,Ret,Ret,Ret,3,Ret,DSQ,9,Ret,Ret,4,1
Eddie Irvine,Ret,16,2,3,3,12,Ret,3,Ret,Ret,9,10,8,Ret,Ret,3,5
Giancarlo Fisichella,Ret,8,Ret,4,6,9,3,9,7,11,Ret,2,4,4,Ret,7,11
Olivier Panis,5,3,Ret,8,4,2,11,,,,,,,,6,Ret,7
Johnny Herbert,Ret,7,4,Ret,Ret,5,5,8,Ret,Ret,3,4,Ret,8,7,6,8
Ralf Schumacher,Ret,Ret,3,Ret,Ret,Ret,Ret,6,5,5,5,Ret,Ret,5,Ret,9,Ret
Damon Hill,DNS,17,Ret,Ret,Ret,Ret,9,12,6,8,2,13,Ret,7,8,11,Ret
Rubens Barrichello,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,Ret,Ret,Ret,Ret,13,14,Ret,Ret,Ret
Alexander Wurz,,,,,,,Ret,Ret,3,,,,,,,,
Jarno Trulli,9,12,9,DNS,Ret,15,Ret,10,8,4,7,15,10,Ret,,,
Pedro Diniz,10,Ret,Ret,Ret,Ret,Ret,8,Ret,Ret,Ret,Ret,7,Ret,13,5,12,Ret
Mika Salo,Ret,13,8,9,5,Ret,Ret,Ret,Ret,Ret,13,11,Ret,Ret,10,Ret,12
Shinji Nakano,7,14,Ret,Ret,Ret,Ret,6,Ret,11,7,6,Ret,11,Ret,Ret,Ret,10
Nicola Larini,6,11,Ret,7,Ret,,,,,,,,,,,,
Jan Magnussen,Ret,Ret,10,Ret,7,13,Ret,Ret,Ret,Ret,Ret,12,Ret,Ret,Ret,Ret,9
Jos Verstappen,Ret,15,Ret,10,8,11,Ret,Ret,Ret,10,Ret,Ret,Ret,12,Ret,13,16
Gianni Morbidelli,,,,,,14,10,,,,Ret,9,12,9,9,DNS,
Norberto Fontana,,,,,,,,Ret,9,9,,,,,,,14
Ukyo Katayama,Ret,18,Ret,11,10,Ret,Ret,11,Ret,Ret,10,14,Ret,11,Ret,Ret,17
Tarso Marques,,,,,,,,Ret,10,Ret,12,Ret,14,EXC,Ret,Ret,15
Vincenzo Sospiri,DNQ,,,,,,,,,,,,,,,,
Ricardo Rosset,DNQ,,,,,,,,,,,,,,,,
Michael Schumacher,2,5,Ret,2,1,4,1,1,Ret,2,4,1,6,6,Ret,1,Ret
