Michael Schumacher,1,1,2,Ret,1,2,1,2,1,1,2,Ret,1,1,4,2,1
David Coulthard,2,3,1,2,5,1,5,Ret,3,4,Ret,Ret,3,2,Ret,3,3
Rubens Barrichello,3,2,Ret,3,Ret,3,2,Ret,5,3,3,2,2,5,2,15,5
Ralf Schumacher,Ret,5,Ret,1,Ret,Ret,Ret,1,4,2,Ret,1,4,7,3,Ret,6
Mika Häkkinen,Ret,6,Ret,4,9,Ret,Ret,3,6,DNS,1,Ret,5,4,Ret,1,4
Juan Pablo Montoya,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,2,Ret,4,Ret,8,Ret,1,Ret,2
Jacques Villeneuve,Ret,Ret,7,Ret,3,8,4,Ret,9,Ret,8,3,9,8,6,Ret,10
Nick Heidfeld,4,Ret,3,7,6,9,Ret,Ret,Ret,6,6,Ret,6,Ret,11,6,9
Jarno Trulli,Ret,8,5,5,4,DSQ,Ret,11,Ret,5,Ret,Ret,Ret,Ret,Ret,4,8
Kimi Räikkönen,6,Ret,Ret,Ret,8,4,10,4,10,7,5,Ret,7,Ret,7,Ret,Ret
Giancarlo Fisichella,13,Ret,6,Ret,14,Ret,Ret,Ret,11,11,13,4,Ret,3,10,8,17
Eddie Irvine,11,Ret,Ret,Ret,Ret,7,3,Ret,7,Ret,9,Ret,Ret,Ret,Ret,5,Ret
Heinz-Harald Frentzen,5,4,11,6,Ret,Ret,Ret,,Ret,8,7,,Ret,9,Ret,10,12
Olivier Panis,7,Ret,4,8,7,5,Ret,Ret,Ret,9,Ret,7,Ret,11,9,11,13
Jean Alesi,9,9,8,9,10,10,6,5,15,12,11,6,10,6,8,7,Ret
Pedro de la Rosa,,,,,Ret,Ret,Ret,6,8,14,12,Ret,11,Ret,5,12,Ret
Jenson Button,Ret,11,10,12,15,Ret,7,Ret,13,16,15,5,Ret,Ret,Ret,9,7
Jos Verstappen,10,7,Ret,Ret,12,6,8,10,Ret,13,10,9,12,10,Ret,Ret,15
Ricardo Zonta,,,,,,,,7,,,,Ret,,,,,
Luciano Burti,8,10,Ret,11,11,11,Ret,8,12,10,Ret,Ret,Ret,Ret,,,
Enrique Bernoldi,Ret,Ret,Ret,10,Ret,Ret,9,Ret,Ret,Ret,14,8,Ret,12,Ret,13,14
Tarso Marques,Ret,14,9,Ret,16,Ret,Ret,9,Ret,15,DNQ,Ret,Ret,13,,,
Fernando Alonso,12,13,Ret,Ret,13,Ret,Ret,Ret,14,17,16,10,Ret,Ret,13,Ret,11
Tomáš Enge,,,,,,,,,,,,,,,12,14,Ret
Gastón Mazzacane,Ret,12,Ret,Ret,,,,,,,,,,,,,
Alex Yoong,,,,,,,,,,,,,,,Ret,Ret,16
