Michael Schumacher,1,1,1,1,1,Ret,1,1,1,1,1,1,1,2,2,12,1,7
Rubens Barrichello,2,4,2,6,2,3,2,2,2,3,3,12,2,3,1,1,Ret,3
Jenson Button,6,3,3,2,8,2,3,3,Ret,5,4,2,5,Ret,3,2,3,Ret
Fernando Alonso,3,7,6,4,4,Ret,5,Ret,Ret,2,10,3,3,Ret,Ret,4,5,4
Juan Pablo Montoya,5,2,13,3,Ret,4,8,DSQ,DSQ,8,5,5,4,Ret,5,5,7,1
Jarno Trulli,7,5,4,5,3,1,4,Ret,4,4,Ret,11,Ret,9,10,,11,12
Kimi Räikkönen,Ret,Ret,Ret,8,11,Ret,Ret,5,6,7,2,Ret,Ret,1,Ret,3,6,2
Takuma Sato,9,15,5,16,5,Ret,Ret,Ret,3,Ret,11,8,6,Ret,4,6,4,6
Ralf Schumacher,4,Ret,7,7,6,10,Ret,DSQ,Ret,,,,,,,Ret,2,5
David Coulthard,8,6,Ret,12,10,Ret,Ret,6,7,6,7,4,9,7,6,9,Ret,11
Giancarlo Fisichella,10,11,11,9,7,Ret,6,4,NC,12,6,9,8,5,8,7,8,9
Felipe Massa,Ret,8,12,10,9,5,9,Ret,Ret,13,9,13,Ret,4,12,8,9,8
Mark Webber,Ret,Ret,8,13,12,Ret,7,Ret,Ret,9,8,6,10,Ret,9,10,Ret,Ret
Olivier Panis,13,12,9,11,Ret,8,11,DSQ,5,15,Ret,14,11,8,Ret,14,14,
Antônio Pizzonia,,,,,,,,,,,,7,7,Ret,7,,,
Christian Klien,11,10,14,14,Ret,Ret,12,9,Ret,11,14,10,13,6,13,Ret,12,14
Cristiano da Matta,12,9,10,Ret,13,6,Ret,DSQ,Ret,14,13,Ret,,,,,,
Nick Heidfeld,Ret,Ret,15,Ret,Ret,7,10,8,Ret,16,15,Ret,12,11,14,13,13,Ret
Timo Glock,,,,,,,,7,,,,,,,,15,15,15
Zsolt Baumgartner,Ret,16,Ret,15,Ret,9,15,10,8,Ret,Ret,16,15,Ret,15,16,Ret,16
Jacques Villeneuve,,,,,,,,,,,,,,,,11,10,10
Ricardo Zonta,,,,,,,,,,,,,Ret,10,11,Ret,,13
Marc Gené,,,,,,,,,,10,12,,,,,,,
Giorgio Pantano,14,13,16,Ret,Ret,Ret,13,,Ret,17,Ret,15,Ret,Ret,Ret,,,
Gianmaria Bruni,NC,14,17,Ret,Ret,Ret,14,Ret,Ret,18,16,17,14,Ret,Ret,Ret,16,17
